,question,answer,source,length
10,What is the meaning of consent of the Data Principal as per the provisions of this Act?,"Consent of the Data Principal means any freely given, specific, informed and unambiguous indication of the Data Principal's wishes by which the Data Principal, by a clear affirmative action, signifies agreement to the processing of her personal data for the specified purpose.","The Digital Personal Data Potection Bill, 2022_0.pdf",276
11,Can a Data Fiduciary make the performance of a contract conditional on the consent to the processing of any personal data not necessary for that purpose?,"No, the performance of any contract already concluded between a Data Fiduciary and a Data Principal shall not be made conditional on the consent to the processing of any personal data not necessary for that purpose.","The Digital Personal Data Potection Bill, 2022_0.pdf",215
12,What happens if a Data Principal withdraws her consent to the processing of personal data?,"The Data Fiduciary shall, within a reasonable time, cease and cause its Data Processors to cease processing of the personal data of such Data Principal unless such processing without the Data Principal’s consent is required or authorised under the provisions of this Act or any other law.","The Digital Personal Data Potection Bill, 2022_0.pdf",288
13,"Can a Data Principal give, manage, review or withdraw her consent to the Data Fiduciary through a Consent Manager?","Yes, the Data Principal may give, manage, review or withdraw her consent to the Data Fiduciary through a Consent Manager, which is a Data Fiduciary that enables a Data Principal to give, manage, review and withdraw her consent through an accessible, transparent and interoperable platform.","The Digital Personal Data Potection Bill, 2022_0.pdf",289
14,What is the responsibility of a Data Fiduciary in case of a dispute regarding consent?,"Where consent given by the Data Principal is the basis of processing of personal data and a question arises in this regard in a proceeding, the Data Fiduciary shall be obliged to prove that a notice was given by the Data Fiduciary to the Data Principal and consent was given by the Data Principal to the Data Fiduciary in accordance with the provisions of this Act.","The Digital Personal Data Potection Bill, 2022_0.pdf",365
15,When is a Data Principal deemed to have given consent to the processing of her personal data?,A Data Principal is deemed to have given consent to the processing of her personal data if such processing is necessary in a situation where the Data Principal voluntarily provides her personal data to the Data Fiduciary and it is reasonably expected that she would provide such personal data.,"The Digital Personal Data Potection Bill, 2022_0.pdf",293
16,Can a Data Fiduciary process personal data without consent in case of a medical emergency?,"Yes, a Data Fiduciary can process personal data without consent in case of a medical emergency involving a threat to the life or immediate threat to the health of the Data Principal or any other individual.","The Digital Personal Data Potection Bill, 2022_0.pdf",206
17,What are the general obligations of a Data Fiduciary as per the provisions of this Act?,"A Data Fiduciary shall, irrespective of any agreement to the contrary, or non-compliance of a Data Principal with her duties specified in this Act, be responsible for complying with the provisions of this Act in respect of any processing undertaken by it or on its behalf by a Data Processor or another Data Fiduciary.","The Digital Personal Data Potection Bill, 2022_0.pdf",318
18,"Can a Data Fiduciary process personal data for the purpose of employment, including prevention of corporate espionage?","Yes, a Data Fiduciary can process personal data for the purposes related to employment, including prevention of corporate espionage, maintenance of confidentiality of trade secrets, intellectual property, classified information, recruitment, termination of employment, provision of any service or benefit sought by a Data Principal who is an employee, verification of attendance and assessment of performance.","The Digital Personal Data Potection Bill, 2022_0.pdf",409
19,What is the responsibility of a Consent Manager as per the provisions of this Act?,"A Consent Manager shall be an entity that is accountable to the Data Principal and acts on behalf of the Data Principal, and shall be registered with the Board in such manner and subject to such technical, operational, financial and other conditions as may be prescribed.","The Digital Personal Data Potection Bill, 2022_0.pdf",271
20,What are the conditions under which a Data Fiduciary shall make reasonable efforts to ensure that personal data is accurate and complete?,"If the personal data is likely to be used by the Data Fiduciary to make a decision that affects the Data Principal, or if the personal data is likely to be disclosed by the Data Fiduciary to another Data Fiduciary.","The Digital Personal Data Potection Bill, 2022_0.pdf",214
21,What technical and organizational measures should a Data Fiduciary implement to ensure effective adherence to the provisions of this Act?,"Appropriate technical and organizational measures should be implemented to ensure effective adherence to the provisions of this Act, although specific details are not mentioned in this section.","The Digital Personal Data Potection Bill, 2022_0.pdf",193
22,What are the obligations of a Data Fiduciary and a Data Processor in case of a personal data breach?,"The Data Fiduciary or Data Processor shall notify the Board and each affected Data Principal, in such form and manner as may be prescribed.","The Digital Personal Data Potection Bill, 2022_0.pdf",139
23,Under what conditions must a Data Fiduciary cease to retain personal data or remove the means by which personal data can be associated with a particular Data Principal?,"A Data Fiduciary must cease to retain personal data, or remove the means by which personal data can be associated with particular Data Principals, as soon as it is reasonable to assume that the purpose for which the personal data was collected is no longer being served by its retention and retention is no longer necessary for legal or business purposes.","The Digital Personal Data Potection Bill, 2022_0.pdf",355
24,What should a Data Fiduciary publish for a Data Principal's questions about processing of her personal data?,"The Data Fiduciary should publish, in such manner as may be prescribed, the business contact information of a Data Protection Officer, or a person who is able to answer on behalf of the Data Fiduciary, the Data Principal’s questions about the processing of her personal data.","The Digital Personal Data Potection Bill, 2022_0.pdf",275
25,"Under what circumstances may a Data Fiduciary share, transfer or transmit the personal data of a Data Principal to any other Data Fiduciary?","Only if consent of the Data Principal has been obtained, and only under a valid contract.","The Digital Personal Data Potection Bill, 2022_0.pdf",89
26,What is required from a Data Fiduciary before processing any personal data of a child?,"A Data Fiduciary must obtain verifiable parental consent, as may be prescribed.","The Digital Personal Data Potection Bill, 2022_0.pdf",79
27,"What should the Significant Data Fiduciary appoint, under the provisions of this Act?","The Significant Data Fiduciary should appoint a Data Protection Officer and an Independent Data Auditor, among other obligations.","The Digital Personal Data Potection Bill, 2022_0.pdf",129
28,What are the rights of a Data Principal in obtaining information about personal data processed by the Data Fiduciary?,"A Data Principal has the right to obtain confirmation whether the Data Fiduciary is processing personal data, a summary of the personal data being processed, the identities of all Data Fiduciaries with whom the personal data has been shared, and any other information as may be prescribed.","The Digital Personal Data Potection Bill, 2022_0.pdf",289
29,What is the right of a Data Principal with respect to correction and erasure of personal data?,"A Data Principal has the right to correction and erasure of her personal data, in accordance with applicable laws and in such manner as may be prescribed.","The Digital Personal Data Potection Bill, 2022_0.pdf",154
30,What can a Data Principal do if they are not satisfied with the response of a Data Fiduciary to a grievance or receive no response within seven days?,They can register a complaint with the Board in such manner as may be prescribed.,"The Digital Personal Data Potection Bill, 2022_0.pdf",81
31,What is the purpose of nominating an individual by a Data Principal?,"The nominated individual will exercise the rights of the Data Principal in the event of death or incapacity of the Data Principal, in accordance with the provisions of this Act.","The Digital Personal Data Potection Bill, 2022_0.pdf",177
32,What are the duties of a Data Principal under this Act?,"A Data Principal shall comply with the provisions of all applicable laws while exercising rights under this Act, not register a false or frivolous grievance or complaint with a Data Fiduciary or the Board, and not furnish any false particulars or suppress any material information or impersonate another person.","The Digital Personal Data Potection Bill, 2022_0.pdf",311
33,Can personal data be transferred outside India?,"Yes, the Central Government may notify countries or territories outside India to which a Data Fiduciary may transfer personal data, in accordance with such terms and conditions as may be specified.","The Digital Personal Data Potection Bill, 2022_0.pdf",197
34,What are the exemptions from the application of provisions of this Act?,"The provisions of Chapter 2, except sub-section (4) of section 9, Chapter 3, and Section 17 of this Act shall not apply in certain cases, such as when personal data is processed in the interest of prevention, detection, investigation, or prosecution of any offence or contravention of any law.","The Digital Personal Data Potection Bill, 2022_0.pdf",293
35,What is the purpose of establishing the Data Protection Board of India?,"The Board is established to determine non-compliance with provisions of this Act and impose penalty, and to perform such functions as the Central Government may assign to the Board under the provisions of this Act or under any other law.","The Digital Personal Data Potection Bill, 2022_0.pdf",237
36,What are the functions of the Board?,"The Board shall determine non-compliance with provisions of this Act and impose penalty, and perform such functions as the Central Government may assign to the Board under the provisions of this Act or under any other law.","The Digital Personal Data Potection Bill, 2022_0.pdf",222
37,How does the Board ensure compliance with the provisions of the Act?,"The Board functions as an independent body, and as far as possible, functions as a digital office and employs such techno-legal measures as may be prescribed. It may take action on receipt of a complaint or on a reference made to it by the Central Government or a State Government or in compliance with the directions of any court.","The Digital Personal Data Potection Bill, 2022_0.pdf",331
38,What is the process followed by the Board to inquire into the affairs of a person?,"The Board shall first determine whether there are sufficient grounds to proceed with an inquiry. If it determines that there are sufficient grounds, it may inquire into the affairs of any person for ascertaining whether such person is complying with or has complied with the provisions of this Act.","The Digital Personal Data Potection Bill, 2022_0.pdf",298
39,What are the principles followed by the Board in conducting an inquiry?,"The Board shall conduct such inquiry following the principles of natural justice, including giving reasonable opportunity of being heard, and shall record reasons for its actions during the course of such inquiry.","The Digital Personal Data Potection Bill, 2022_0.pdf",213
40,What are the powers of the Board for the purpose of conducting an inquiry under this section?,"The Board shall have the power to summon and enforce the attendance of persons, examine them on oath, and inspect any data, book, document, register, books of account, or any other document.","The Digital Personal Data Potection Bill, 2022_0.pdf",190
41,What is the time limit for completing an inquiry under this section?,The inquiry under this section shall be completed at the earliest.,"The Digital Personal Data Potection Bill, 2022_0.pdf",66
42,Can the Board take into custody any equipment or item that may adversely affect the day-to-day functioning of a person?,"No, the Board or its officers shall not prevent access to any premises or take into custody any equipment or item that may adversely affect the day-to-day functioning of a person.","The Digital Personal Data Potection Bill, 2022_0.pdf",179
43,Can the Board require the services of any police officer or any officer of the Central Government or a State Government to assist it for the purposes of this section?,"Yes, the Board may require the services of any police officer or any officer of the Central Government or a State Government to assist it for the purposes of this section, and it shall be the duty of every such officer to comply with such requisition.","The Digital Personal Data Potection Bill, 2022_0.pdf",251
44,What is the procedure for issuing interim orders under this section?,"The Board may, for reasons to be recorded in writing, issue interim orders after giving the concerned persons a reasonable opportunity of being heard, if it considers it necessary for preventing non-compliance with the provisions of this Act.","The Digital Personal Data Potection Bill, 2022_0.pdf",242
45,What is the effect of an order made by the Board under this section?,"Every order made by the Board shall be enforced by it as if it were a decree made by a Civil Court, and the Board shall have all the powers of a Civil Court as provided in the Code of Civil Procedure, 1908.","The Digital Personal Data Potection Bill, 2022_0.pdf",206
46,"Can the Board review its order and modify, suspend, withdraw, or cancel it?","Yes, the Board may review its order, acting through a group larger than the group which held proceedings in a matter under section 21, on a representation made to it, or on its own, and for reasons to be recorded in writing, modify, suspend, withdraw, or cancel any order issued under the provisions of this Act.","The Digital Personal Data Potection Bill, 2022_0.pdf",312
47,What is the procedure for appealing against an order of the Board?,"An appeal against any order of the Board shall lie to the High Court, and every appeal made under this section shall be preferred within a period of sixty days from the date of the order appealed against.","The Digital Personal Data Potection Bill, 2022_0.pdf",204
48,Can the Board accept a voluntary undertaking in respect of any matter related to compliance with the provisions of this Act?,"Yes, the Board may accept a voluntary undertaking in respect of any matter related to compliance with the provisions of this Act from any person at any stage.","The Digital Personal Data Potection Bill, 2022_0.pdf",158
49,What is the maximum financial penalty that can be imposed by the Board under this Act?,The maximum financial penalty that can be imposed by the Board under this Act is rupees five hundred crore in each instance.,"The Digital Personal Data Potection Bill, 2022_0.pdf",124
50,"What are the amendments made to the Information Technology Act, 2000 (IT Act) as per the Digital Personal Data Protection Act, 2022?","The amendments include omitting section 43A of the IT Act, inserting the words 'or the Digital Personal Data Protection Act, 2022' in the proviso of section 81 of the IT Act, and omitting clause (ob) of sub-section (2) of section 87 of the IT Act.","The Digital Personal Data Potection Bill, 2022_0.pdf",247
51,"What is the penalty for failure of a Data Processor or Data Fiduciary to take reasonable security safeguards to prevent personal data breach under sub-section (4) of section 9 of the Digital Personal Data Protection Act, 2022?",The penalty is up to Rs 250 crore.,"The Digital Personal Data Potection Bill, 2022_0.pdf",34
52,"What is the amendment made to clause (j) of sub-section (1) of section 8 of the Right to Information Act, 2005?","The words 'the disclosure of which has no relationship to any public activity or interest, or which would cause unwarranted invasion of the privacy of the individual unless the Central Public Information Officer or the State Public Information Officer or the appellate authority, as the case may be, is satisfied that the larger public interest justifies the disclosure of such information' shall be omitted, and the proviso shall be omitted.","The Digital Personal Data Potection Bill, 2022_0.pdf",442
53,"What is the penalty for non-fulfilment of additional obligations in relation to Children under section 10 of the Digital Personal Data Protection Act, 2022?",The penalty is up to Rs 150 crore.,"The Digital Personal Data Potection Bill, 2022_0.pdf",34
54,"What is the penalty for non-compliance with section 16 of the Digital Personal Data Protection Act, 2022?",The penalty is up to Rs 10 thousand.,"The Digital Personal Data Potection Bill, 2022_0.pdf",36
55,"What is the penalty for failure to notify the Board and affected Data Principals in the event of a personal data breach under sub-section (5) of section 9 of the Digital Personal Data Protection Act, 2022?",The penalty is up to Rs 200 crore.,"The Digital Personal Data Potection Bill, 2022_0.pdf",34
56,"What is the penalty for non-fulfilment of additional obligations of Significant Data Fiduciary under section 11 of the Digital Personal Data Protection Act, 2022?",The penalty is up to Rs 150 crore.,"The Digital Personal Data Potection Bill, 2022_0.pdf",34
57,"What is the penalty for non-compliance with provisions of the Digital Personal Data Protection Act, 2022 other than those listed in (1) to (5) and any Rule made thereunder?",The penalty is up to Rs 50 crore.,"The Digital Personal Data Potection Bill, 2022_0.pdf",33
58,"What is the purpose of Schedule 1 of the Digital Personal Data Protection Act, 2022?",Schedule 1 lists the subject matter of non-compliance and the corresponding penalties.,"The Digital Personal Data Potection Bill, 2022_0.pdf",86
59,"What is the maximum penalty that can be imposed for failure to take reasonable security safeguards to prevent personal data breach under sub-section (4) of section 9 of the Digital Personal Data Protection Act, 2022?",The maximum penalty is Rs 250 crore.,"The Digital Personal Data Potection Bill, 2022_0.pdf",36
60,"What is the purpose of the Digital Personal Data Protection Act, 2023?","The purpose of the Digital Personal Data Protection Act, 2023 is to provide for the processing of digital personal data in a manner that recognises both the right of individuals to protect their personal data and the need to process such personal data for lawful purposes and for matters connected therewith or incidental thereto.",Digital Personal Data Protection Act 2023.pdf,330
61,"When does the Digital Personal Data Protection Act, 2023 come into force?","The Digital Personal Data Protection Act, 2023 comes into force on such date as the Central Government may, by notification in the Official Gazette, appoint and different dates may be appointed for different provisions of this Act.",Digital Personal Data Protection Act 2023.pdf,231
62,"What is the definition of 'personal data' under the Digital Personal Data Protection Act, 2023?",Personal data means any data about an individual who is identifiable by or in relation to such data.,Digital Personal Data Protection Act 2023.pdf,100
63,"What is the definition of 'processing' under the Digital Personal Data Protection Act, 2023?","Processing in relation to personal data, means a wholly or partly automated operation or set of operations performed on digital personal data, and includes operations such as collection, recording, organisation, structuring, storage, adaptation, retrieval, use, alignment or combination, indexing, sharing, disclosure by transmission, dissemination or otherwise making available, restriction, erasure or destruction.",Digital Personal Data Protection Act 2023.pdf,416
64,"What are the obligations of a Data Fiduciary under the Digital Personal Data Protection Act, 2023?","A Data Fiduciary may process the personal data of a Data Principal only in accordance with the provisions of this Act and for a lawful purpose, for which the Data Principal has given her consent or for certain legitimate uses.",Digital Personal Data Protection Act 2023.pdf,226
65,"What is the requirement for a Data Fiduciary to obtain consent from a Data Principal under the Digital Personal Data Protection Act, 2023?","Every request made to a Data Principal for consent shall be accompanied or preceded by a notice given by the Data Fiduciary to the Data Principal, informing her of the personal data and the purpose for which the same is proposed to be processed, the manner in which she may exercise her rights, and the manner in which the Data Principal may make a complaint to the Board.",Digital Personal Data Protection Act 2023.pdf,372
66,"What is the definition of 'Data Principal' under the Digital Personal Data Protection Act, 2023?","Data Principal means the individual to whom the personal data relates and where such individual is a child, includes the parents or lawful guardian of such a child, and where such individual is a person with disability, includes her lawful guardian, acting on her behalf.",Digital Personal Data Protection Act 2023.pdf,271
67,"What is the definition of 'Data Fiduciary' under the Digital Personal Data Protection Act, 2023?",Data Fiduciary means any person who alone or in conjunction with other persons determines the purpose and means of processing of personal data.,Digital Personal Data Protection Act 2023.pdf,143
68,"What is the definition of 'Significant Data Fiduciary' under the Digital Personal Data Protection Act, 2023?",Significant Data Fiduciary means any Data Fiduciary or class of Data Fiduciaries as may be notified by the Central Government under section 10.,Digital Personal Data Protection Act 2023.pdf,143
69,"What is the application of the Digital Personal Data Protection Act, 2023?","The Digital Personal Data Protection Act, 2023 applies to the processing of digital personal data within the territory of India where the personal data is collected in digital form or in non-digital form and digitised subsequently, and also applies to processing of digital personal data outside the territory of India, if such processing is in connection with any activity related to offering of goods or services to Data Principals within the territory of India.",Digital Personal Data Protection Act 2023.pdf,464
70,What is the requirement for obtaining consent from a Data Principal under the Act?,"The consent given by the Data Principal shall be free, specific, informed, unconditional and unambiguous with a clear affirmative action, and shall signify an agreement to the processing of her personal data for the specified purpose and be limited to such personal data as is necessary for such specified purpose.",Digital Personal Data Protection Act 2023.pdf,314
71,Can a Data Fiduciary continue to process personal data after the Data Principal has withdrawn her consent?,"The consequences of the withdrawal of consent shall be borne by the Data Principal, and such withdrawal shall not affect the legality of processing of the personal data based on consent before its withdrawal.",Digital Personal Data Protection Act 2023.pdf,208
72,What are the legitimate uses of personal data by a Data Fiduciary under the Act?,"A Data Fiduciary may process personal data of a Data Principal for any of the following uses: (a) for the specified purpose for which the Data Principal has voluntarily provided her personal data to the Data Fiduciary, (b) for the State and any of its instrumentalities to provide or issue to the Data Principal such subsidy, benefit, service, certificate, licence or permit as may be prescribed, (c) for the performance by the State or any of its instrumentalities of any function under any law for the time being in force in India or in the interest of sovereignty and integrity of India or security of the State, and others.",Digital Personal Data Protection Act 2023.pdf,627
73,What is the responsibility of a Data Fiduciary in case of a personal data breach?,"In the event of a personal data breach, the Data Fiduciary shall give the Board and each affected Data Principal, intimation of such breach in such form and manner as may be prescribed.",Digital Personal Data Protection Act 2023.pdf,185
74,Can a Data Fiduciary engage a Data Processor to process personal data on its behalf?,"A Data Fiduciary may engage, appoint, use or otherwise involve a Data Processor to process personal data on its behalf for any activity related to offering of goods or services to Data Principals only under a valid contract.",Digital Personal Data Protection Act 2023.pdf,224
75,What are the obligations of a Data Fiduciary in respect of personal data processing?,"A Data Fiduciary shall, irrespective of any agreement to the contrary or failure of a Data Principal to carry out the duties provided under this Act, be responsible for complying with the provisions of this Act and the rules made thereunder in respect of any processing undertaken by it or on its behalf by a Data Processor.",Digital Personal Data Protection Act 2023.pdf,324
76,Can a Data Principal withdraw her consent to the processing of personal data?,"Yes, a Data Principal shall have the right to withdraw her consent at any time, with the ease of doing so being comparable to the ease with which such consent was given.",Digital Personal Data Protection Act 2023.pdf,169
77,What is the role of a Consent Manager under the Act?,A Consent Manager shall be accountable to the Data Principal and shall act on her behalf in such manner and subject to such obligations as may be prescribed.,Digital Personal Data Protection Act 2023.pdf,157
78,What are the requirements for a Data Fiduciary to provide notice to a Data Principal?,"Every request for consent under the provisions of this Act or the rules made thereunder shall be presented to the Data Principal in a clear and plain language, giving her the option to access such request in English or any language specified in the Eighth Schedule to the Constitution and providing the contact details of a Data Protection Officer, where applicable, or of any other person authorised by the Data Fiduciary to respond to any communication from the Data Principal for the purpose of exercise of her rights under the provisions of this Act.",Digital Personal Data Protection Act 2023.pdf,554
79,What are the consequences of a Data Fiduciary's failure to comply with the provisions of the Act?,"The consequences of a Data Fiduciary's failure to comply with the provisions of the Act shall be borne by the Data Fiduciary, and may include penalties and other enforcement actions as prescribed under the Act.",Digital Personal Data Protection Act 2023.pdf,210
80,What is the obligation of a Data Fiduciary regarding the retention of personal data?,"A Data Fiduciary shall erase personal data as soon as it is reasonable to assume that the specified purpose is no longer being served, or cause its Data Processor to erase any personal data that was made available by the Data Fiduciary for processing to such Data Processor.",Digital Personal Data Protection Act 2023.pdf,274
81,Can a Data Fiduciary retain personal data for a longer period if it is necessary for compliance with law?,"Yes, a Data Fiduciary can retain personal data for a longer period if it is necessary for compliance with law, as seen in the illustration where Y, a bank, is required to maintain the record of the identity of its clients for a period of ten years beyond closing of accounts.",Digital Personal Data Protection Act 2023.pdf,275
82,What is the purpose of publishing the business contact information of a Data Protection Officer?,"A Data Fiduciary shall publish, in such manner as may be prescribed, the business contact information of a Data Protection Officer, if applicable, or a person who is able to answer on behalf of the Data Fiduciary, the questions, if any, raised by the Data Principal about the processing of her personal data.",Digital Personal Data Protection Act 2023.pdf,308
83,What is the obligation of a Data Fiduciary regarding the processing of personal data of children?,"A Data Fiduciary shall, before processing any personal data of a child or a person with disability who has a lawful guardian, obtain verifiable consent of the parent of such child or the lawful guardian, as the case may be, in such manner as may be prescribed.",Digital Personal Data Protection Act 2023.pdf,260
84,Can a Data Fiduciary undertake tracking or behavioural monitoring of children?,"No, a Data Fiduciary shall not undertake tracking or behavioural monitoring of children or targeted advertising directed at children, except in cases where the Central Government may notify for such processing by such Data Fiduciary the age above which that Data Fiduciary shall be exempt from the applicability of all or any of the obligations under sub-sections (1) and (3) in respect of processing by that Data Fiduciary as the notification may specify.",Digital Personal Data Protection Act 2023.pdf,456
85,What is the obligation of a Significant Data Fiduciary?,"A Significant Data Fiduciary shall appoint a Data Protection Officer, an independent data auditor, and undertake periodic Data Protection Impact Assessment, periodic audit, and such other measures, consistent with the provisions of this Act, as may be prescribed.",Digital Personal Data Protection Act 2023.pdf,263
86,What is the right of a Data Principal regarding access to information about personal data?,"A Data Principal shall have the right to obtain from the Data Fiduciary, upon making a request in such manner as may be prescribed, a summary of personal data which is being processed by such Data Fiduciary and the processing activities undertaken by that Data Fiduciary with respect to such personal data.",Digital Personal Data Protection Act 2023.pdf,306
87,"Can a Data Principal request correction, completion, updating and erasure of her personal data?","Yes, a Data Principal shall have the right to correction, completion, updating and erasure of her personal data for the processing of which she has previously given consent, including consent as referred to in clause (a) of section 7, in accordance with any requirement or procedure under any law for the time being in force.",Digital Personal Data Protection Act 2023.pdf,325
88,What is the obligation of a Data Fiduciary regarding grievance redressal?,"A Data Fiduciary shall establish an effective mechanism to redress the grievances of Data Principals, and respond to any grievances referred to in sub-section (1) within such period as may be prescribed from the date of its receipt for all or any class of Data Fiduciaries.",Digital Personal Data Protection Act 2023.pdf,273
89,What are the duties of a Data Principal?,"A Data Principal shall perform the following duties, namely: comply with the provisions of all applicable laws for the time being in force while exercising rights under the provisions of this Act; ensure not to impersonate another person while providing her personal data for a specified purpose; and furnish only such information as is verifiably authentic, while exercising the right to correction or erasure under the provisions of this Act or the rules made thereunder.",Digital Personal Data Protection Act 2023.pdf,473
90,What is the Central Government empowered to do in terms of restricting the transfer of personal data by a Data Fiduciary for processing to countries or territories outside India?,"The Central Government may, by notification, restrict the transfer of personal data by a Data Fiduciary for processing to such country or territory outside India as may be so notified.",Digital Personal Data Protection Act 2023.pdf,184
91,Which sections and chapters of the Act are not applicable to the processing of personal data for specific purposes?,"The provisions of Chapter II, except sub-sections (1) and (5) of section 8, and those of Chapter III and section 16 shall not apply where the processing of personal data is necessary for enforcing any legal right or claim, among other purposes.",Digital Personal Data Protection Act 2023.pdf,244
92,Under what circumstances is the processing of personal data exempt from the provisions of this Act?,"The processing of personal data is exempt from the provisions of this Act when it is by an instrumentality of the State in the interests of sovereignty and integrity of India, security of the State, friendly relations with foreign States, maintenance of public order or preventing incitement to any cognizable offence relating to any of these, and the processing by the Central Government of any personal data that such instrumentality may furnish to it.",Digital Personal Data Protection Act 2023.pdf,454
93,"Who can appoint the Chairperson and Members of the Data Protection Board of India, and what is the term of their office?","The Chairperson and other Members of the Data Protection Board of India are appointed by the Central Government in such manner as may be prescribed, and they hold office for a term of two years and shall be eligible for re-appointment.",Digital Personal Data Protection Act 2023.pdf,235
94,"What is the eligibility criterion for a private limited company, partnership firm, or limited liability partnership to be recognized as a startup under this Act?","The eligibility criterion for a private limited company, partnership firm, or limited liability partnership to be recognized as a startup under this Act is that it is eligible to be and is recognised as such in accordance with the criteria and process notified by the department to which matters relating to startups are allocated in the Central Government.",Digital Personal Data Protection Act 2023.pdf,357
95,Under what circumstances can a Chairperson or Member be removed from office by the Central Government?,The Chairperson or Member shall not be removed from her office by the Central Government unless she has been given an opportunity of being heard in the matter.,Digital Personal Data Protection Act 2023.pdf,159
96,"Can the Board fill vacancies caused by resignation or removal or death of the Chairperson or any other Member, or otherwise, by fresh appointment in accordance with the provisions of this Act?","Yes, a vacancy caused by the resignation or removal or death of the Chairperson or any other Member, or otherwise, shall be filled by fresh appointment in accordance with the provisions of this Act.",Digital Personal Data Protection Act 2023.pdf,198
97,"Can the Central Government exempt certain Data Fiduciaries or classes of Data Fiduciaries, including startups, from the provisions of this Act for a specified period?","Yes, the Central Government may, before expiry of five years from the date of commencement of this Act, by notification, declare that any provision of this Act shall not apply to such Data Fiduciary or classes of Data Fiduciaries for such period as may be specified in the notification.",Digital Personal Data Protection Act 2023.pdf,286
98,"Who are the Data Fiduciaries or class of Data Fiduciaries to whom the provisions of section 5, sub-sections (3) and (7) of section 8, and sections 10 and 11 may not apply?","The Central Government may notify certain Data Fiduciaries or class of Data Fiduciaries, including startups, to whom the provisions of section 5, sub-sections (3) and (7) of section 8, and sections 10 and 11 may not apply.",Digital Personal Data Protection Act 2023.pdf,222
99,"Who can be disqualified from being appointed or continuing as the Chairperson or a Member of the Board, and under what circumstances?","A person can be disqualified from being appointed or continuing as the Chairperson or a Member of the Board if they have been adjudged as an insolvent, have been convicted of an offence, which in the opinion of the Central Government, involves moral turpitude, among other reasons.",Digital Personal Data Protection Act 2023.pdf,281
100,What are the powers of the Chairperson of the Board under section 26 of the Act?,"The Chairperson shall exercise the powers of general superintendence and giving direction in respect of all administrative matters of the Board, authorise any officer of the Board to scrutinise any intimation, complaint, reference or correspondence addressed to the Board, and authorise performance of any of the functions of the Board and conduct any of its proceedings, by an individual Member or groups of Members and to allocate proceedings among them.",Digital Personal Data Protection Act 2023.pdf,456
101,What are the powers and functions of the Board under section 27 of the Act?,"The Board shall exercise and perform the powers and functions, including directing urgent remedial or mitigation measures in the event of a personal data breach, inquiring into breaches and imposing penalties, inquiring into breaches by Consent Managers, and inquiring into breaches by intermediaries.",Digital Personal Data Protection Act 2023.pdf,301
102,What is the procedure to be followed by the Board under section 28 of the Act?,"The Board shall function as an independent body and shall, as far as practicable, function as a digital office, with the receipt of complaints and the allocation, hearing and pronouncement of decisions in respect of the same being digital by design, and adopt such techno-legal measures as may be prescribed.",Digital Personal Data Protection Act 2023.pdf,308
