,Unnamed: 0,question,answer,source,length
49,49,What is the purpose of the illustrative table of reward payable under the Securities and Exchange Board of India (Prohibition of Insider Trading) Regulations?,"The illustrative table provides a guideline for calculating the reward payable to an informant based on the monetary sanctions imposed, and is intended to illustrate the calculation of the reward.",1629271161479.pdf,196
50,50,What is the discretion of the Board in making information available?,"The Board may make information available at its discretion in connection with legal proceedings, as permitted by regulations, or as required or permitted by law.",1629271161479.pdf,161
51,51,Who can the Board share Original Information with?,"The Board may share Original Information with regulatory agencies, self-regulatory organizations, surveillance or investigation wings of recognized stock exchanges or clearing corporations, law enforcement organizations, and public prosecutors in connection with criminal proceedings.",1629271161479.pdf,284
52,52,What is the requirement for sharing information with assurances of confidentiality?,Sharing of information shall be in accordance with such assurances of confidentiality as the Board determines appropriate.,1629271161479.pdf,122
53,53,What is the protection for Informants against retaliation and victimization?,"Every person required to have a Code of Conduct under these regulations shall ensure that such a Code of Conduct provides for suitable protection against any discharge, termination, demotion, suspension, threats, harassment, directly or indirectly, or discrimination against any employee who files a Voluntary Information Disclosure Form.",1629271161479.pdf,338
54,54,Can an Informant approach a competent court or tribunal for relief from retaliation or victimization?,"Yes, an Informant who believes they have been subject to retaliation or victimization by their employer may approach a competent court or tribunal for appropriate relief.",1629271161479.pdf,170
55,55,What is the effect of a term in an agreement that precludes a person from submitting information to the Board?,Any term in an agreement that purports to preclude any person from submitting information to the Board relating to the violation of securities laws is void.,1629271161479.pdf,156
56,56,Can an employer impede an individual from communicating with the Board?,"No person shall by way of any threat or act impede an individual from communicating with the Board, including enforcing or threatening to enforce a confidentiality agreement.",1629271161479.pdf,174
57,57,Does an Informant receive amnesty or immunity for violation of securities laws?,"No, nothing in these regulations shall be deemed to provide any amnesty or immunity to an Informant for violation of securities laws.",1629271161479.pdf,133
58,58,What is the role of the Informant Incentive Committee?,"The Informant Incentive Committee shall give its recommendations to the Board on eligibility of Informant for reward, determination under regulations 7E and 7G, and other issues relating to Informant as the Board may require from time to time.",1629271161479.pdf,243
59,59,What information will the Board upload on its website?,"The Board shall upload on its website the annual report of the Office of Informant Protection, press releases informing the public of intimations issued to Informants and Rewards paid, and Orders issuing Rewards, without disclosing information that could identify the Informant or the information provided by the Informant.",1629271161479.pdf,323
60,60,What is the purpose of the provision related to fair disclosure of events and occurrences that could impact price discovery in the market for a company's securities?,The purpose is to require every company whose securities are listed on stock exchanges to formulate a stated framework and policy for fair disclosure of events and occurrences that could impact price discovery in the market for its securities.,1629271161479.pdf,243
61,61,What is the requirement for a company's code of practices and procedures for fair disclosure of unpublished price sensitive information?,Every such code of practices and procedures for fair disclosure of unpublished price sensitive information and every amendment thereto shall be promptly intimated to the stock exchanges where the securities are listed.,1629271161479.pdf,218
62,62,"Who is responsible for formulating a code of conduct to regulate, monitor, and report trading by designated persons and immediate relatives of designated persons in a listed company?","The board of directors of every listed company shall ensure that the chief executive officer or managing director shall formulate a code of conduct with their approval to regulate, monitor, and report trading by its designated persons and immediate relatives of designated persons.",1629271161479.pdf,281
63,63,What is the purpose of the code of conduct formulated by a listed company or intermediary?,"The purpose is to regulate, monitor, and report trading by designated persons and immediate relatives of designated persons towards achieving compliance with the regulations, adopting the minimum standards set out in Schedule B or Schedule C, without diluting the provisions of the regulations in any manner.",1629271161479.pdf,308
64,64,"Who is required to formulate a code of conduct governing trading in securities by their designated persons, in addition to listed companies and intermediaries?","Persons other than listed companies and intermediaries that are required to handle unpublished price sensitive information, including professional firms such as auditors, accountancy firms, law firms, analysts, insolvency professional entities, consultants, banks, etc.",1629271161479.pdf,269
65,65,What is the role of the compliance officer in administering the code of conduct and monitoring compliance with the regulations?,"The compliance officer is responsible for administering the code of conduct and monitoring compliance with the regulations, and shall be identified and designated by every listed company, intermediary, and other persons formulating a code of conduct.",1629271161479.pdf,250
66,66,How are designated persons to be covered by the code of conduct specified?,"The board of directors or such other analogous authority shall, in consultation with the compliance officer, specify the designated persons to be covered by the code of conduct on the basis of their role and function in the organization and the access that such role and function would provide to unpublished price sensitive information.",1629271161479.pdf,337
67,67,What is the purpose of the explanation provided in the regulations regarding fiduciaries?,"The explanation is intended to clarify that fiduciaries, such as professional firms assisting or advising listed companies, shall be collectively referred to as fiduciaries for the purpose of these regulations.",1629271161479.pdf,210
68,68,"What is the requirement for a listed company or intermediary to formulate a code of conduct to regulate, monitor, and report trading by its designated persons?","Every listed company and intermediary shall formulate a code of conduct to regulate, monitor, and report trading by its designated persons and immediate relatives of designated persons, adopting the minimum standards set out in Schedule B or Schedule C, without diluting the provisions of the regulations in any manner.",1629271161479.pdf,319
69,69,What is the purpose of the amendment to the regulations regarding the formulation of a code of conduct by persons other than listed companies and intermediaries?,The purpose is to mandate persons other than listed companies and intermediaries that are required to handle unpublished price sensitive information to formulate a code of conduct governing trading in securities by their designated persons.,1629271161479.pdf,240
70,70,Who are the employees of material subsidiaries of listed companies that are designated on the basis of their functional role or access to unpublished price sensitive information?,Employees of material subsidiaries of listed companies designated on the basis of their functional role or access to unpublished price sensitive information in the organization by their board of directors.,1629271161479.pdf,205
71,71,"What is the role of the Chief Executive Officer or Managing Director of a listed company, intermediary, or fiduciary in preventing insider trading?","The Chief Executive Officer or Managing Director of a listed company, intermediary, or fiduciary shall put in place adequate and effective systems of internal controls to ensure compliance with the requirements given in these regulations to prevent insider trading.",1629271161479.pdf,265
72,72,What are the internal controls that must be included in the system of internal controls to prevent insider trading?,"The internal controls shall include identifying all employees who have access to unpublished price sensitive information, maintaining confidentiality of unpublished price sensitive information, placing adequate restrictions on communication or procurement of unpublished price sensitive information, maintaining lists of all employees and other persons with whom unpublished price sensitive information is shared, and complying with all other relevant requirements specified under these regulations.",1629271161479.pdf,499
73,73,"What is the role of the board of directors of a listed company, intermediary, or fiduciary in ensuring compliance with the regulations to prevent insider trading?",The board of directors of every listed company and the board of directors or head(s) of the organisation of intermediaries and fiduciaries shall ensure that the Chief Executive Officer or the Managing Director or such other analogous person ensures compliance with regulation 9 and sub-regulations (1) and (2) of this regulation.,1629271161479.pdf,329
74,74,What is the role of the Audit Committee of a listed company in reviewing compliance with the provisions of these regulations?,The Audit Committee of a listed company or other analogous body for intermediary or fiduciary shall review compliance with the provisions of these regulations at least once in a financial year and shall verify that the systems for internal control are adequate and are operating effectively.,1629271161479.pdf,291
75,75,What is the procedure for inquiry in case of leak of unpublished price sensitive information or suspected leak of unpublished price sensitive information?,"Every listed company shall formulate written policies and procedures for inquiry in case of leak of unpublished price sensitive information or suspected leak of unpublished price sensitive information, which shall be approved by board of directors of the company and accordingly initiate appropriate inquiries on becoming aware of leak of unpublished price sensitive information or suspected leak of unpublished price sensitive information.",1629271161479.pdf,440
76,76,What is the role of the whistle-blower policy in preventing insider trading?,The listed company shall have a whistle-blower policy and make employees aware of such policy to enable employees to report instances of leak of unpublished price sensitive information.,1629271161479.pdf,185
77,77,What is the power of the Board to remove difficulties in the interpretation or application of the provisions of these regulations?,The Board shall have the power to issue directions through guidance notes or circulars to remove any difficulties in the interpretation or application of the provisions of these regulations.,1629271161479.pdf,190
78,78,"What is the effect of repeal of the Securities and Exchange Board of India (Prohibition of Insider Trading) Regulations, 1992?","The repeal of the Securities and Exchange Board of India (Prohibition of Insider Trading) Regulations, 1992 shall not affect the previous operation of the repealed regulations or anything duly done or suffered thereunder, and any right, privilege, obligation or liability acquired, accrued or incurred under the repealed regulations shall remain unaffected.",1629271161479.pdf,357
79,79,What are the principles of fair disclosure for purposes of code of practices and procedures for fair disclosure of unpublished price sensitive information?,"The principles of fair disclosure include prompt public disclosure of unpublished price sensitive information, uniform and universal dissemination of unpublished price sensitive information, designation of a senior officer as a chief investor relations officer, prompt dissemination of unpublished price sensitive information that gets disclosed selectively, and ensuring that information shared with analysts and research personnel is not unpublished price sensitive information.",1629271161479.pdf,480
80,80,What is the frequency at which the compliance officer shall report to the board of directors?,"The compliance officer shall report to the board of directors at such frequency as may be stipulated by the board of directors, but not less than once in a year.",1629271161479.pdf,161
81,81,How shall unpublished price sensitive information be handled within the organisation?,"All information shall be handled within the organisation on a need-to-know basis and no unpublished price sensitive information shall be communicated to any person except in furtherance of legitimate purposes, performance of duties or discharge of legal obligations.",1629271161479.pdf,266
82,82,Who shall be governed by an internal code of conduct governing dealing in securities?,Designated Persons and immediate relatives of designated persons in the organisation shall be governed by an internal code of conduct governing dealing in securities.,1629271161479.pdf,166
83,83,What is the purpose of a notional trading window?,A notional trading window shall be used as an instrument of monitoring trading by the designated persons.,1629271161479.pdf,105
84,84,When shall the trading window be closed?,The trading window shall be closed when the compliance officer determines that a designated person or class of designated persons can reasonably be expected to have possession of unpublished price sensitive information.,1629271161479.pdf,219
85,85,What is the trading restriction period?,The trading restriction period shall be made applicable from the end of every quarter till 48 hours after the declaration of financial results.,1629271161479.pdf,143
86,86,What transactions are exempt from trading window restrictions?,"Transactions specified in clauses (i) to (iv) and (vi) of the proviso to sub-regulation (1) of regulation 4, pledge of shares for a bonafide purpose, and transactions undertaken in accordance with respective regulations made by the Board are exempt from trading window restrictions.",1629271161479.pdf,282
87,87,What is the role of the compliance officer in relation to pre-clearance of trades?,"The compliance officer shall be entitled to seek declarations to the effect that the applicant for pre-clearance is not in possession of any unpublished price sensitive information, and shall have regard to whether any such declaration is reasonably capable of being rendered inaccurate.",1629271161479.pdf,287
88,88,What is the timeframe within which trades that have been pre-cleared have to be executed?,"The code of conduct shall specify any reasonable timeframe, which in any event shall not be more than seven trading days, within which trades that have been pre-cleared have to be executed by the designated person, failing which fresh pre-clearance would be needed for the trades to be executed.",1629271161479.pdf,295
89,89,Who shall determine the timing for re-opening of the trading window?,The timing for re-opening of the trading window shall be determined by the compliance officer taking into account various factors including the unpublished price sensitive information in question becoming generally available and being capable of assimilation by the market.,1629271161479.pdf,273
90,90,What is the minimum period within which a designated person who is permitted to trade should not execute a contra trade?,Six months,1629271161479.pdf,10
91,91,Who can grant relaxation from strict application of the restriction on contra trades?,The compliance officer,1629271161479.pdf,22
92,92,What happens to the profits from a contra trade executed in violation of the restriction?,The profits shall be liable to be disgorged for remittance to the Board for credit to the Investor Protection and Education Fund administered by the Board under the Act,1629271161479.pdf,168
93,93,"What formats shall the code of conduct stipulate for making applications for pre-clearance, reporting of trades executed, etc.?",Such formats as the board of directors deems necessary,1629271161479.pdf,54
94,94,What sanctions and disciplinary actions may be imposed for contravention of the code of conduct?,"Wage freeze, suspension, recovery, etc.",1629271161479.pdf,39
95,95,What should the listed company required to formulate a code of conduct under sub-regulation (1) of regulation 9 do in case of a violation of these regulations?,Promptly inform the stock exchange(s) where the concerned securities are traded,1629271161479.pdf,79
96,96,What information should designated persons disclose to the company on an annual basis and as and when the information changes?,"Names and Permanent Account Number or any other identifier authorized by law of immediate relatives, persons with whom such designated person(s) shares a material financial relationship, and phone, mobile and cell numbers",1629271161479.pdf,221
97,97,What is the term 'material financial relationship' defined as?,"A relationship in which one person is a recipient of any kind of payment such as by way of a loan or gift from a designated person during the immediately preceding twelve months, equivalent to at least 25% of the annual income of such designated person",1629271161479.pdf,252
98,98,What process should listed entities have for how and when people are brought 'inside' on sensitive transactions?,"A process for how and when people are brought 'inside' on sensitive transactions, individuals should be made aware of the duties and responsibilities attached to the receipt of Inside Information",1629271161479.pdf,195
99,99,What is the role of the compliance officer in reporting to the board of directors or head(s) of the organisation?,The compliance officer shall report to the board of directors or head(s) of the organisation (or committee constituted in this regard) at such frequency as may be stipulated by the board of directors or head(s) of the organisation but not less than once in a year,1629271161479.pdf,263
100,100,What should the compliance officer do before approving any trades?,The compliance officer shall seek declarations to the effect that the applicant for pre-clearance is not in possession of any unpublished price sensitive information.,1629271161479.pdf,166
101,101,Within what timeframe should trades that have been pre-cleared be executed by the designated person?,"The trades that have been pre-cleared have to be executed by the designated person within a reasonable timeframe, which in any event shall not be more than seven trading days.",1629271161479.pdf,175
102,102,"What is the period within which a designated person who is a connected person of the listed company and is permitted to trade in the securities of such listed company, shall not execute a contra trade?","The period within which a designated person who is a connected person of the listed company and is permitted to trade in the securities of such listed company, shall not execute a contra trade, shall not be less than six months.",1629271161479.pdf,228
103,103,"What should the code of conduct stipulate with respect to applications for pre-clearance, reporting of trades executed, and reporting of decisions not to trade after securing pre-clearance?","The code of conduct shall stipulate such formats as the board of directors or head(s) of the organisation deems necessary for making applications for pre-clearance, reporting of trades executed, and reporting of decisions not to trade after securing pre-clearance.",1629271161479.pdf,264
104,104,What sanctions and disciplinary actions may be imposed by the intermediary or fiduciary for the contravention of the code of conduct?,"The code of conduct shall stipulate the sanctions and disciplinary actions, including wage freeze, suspension, recovery, etc., that may be imposed by the intermediary or fiduciary for the contravention of the code of conduct.",1629271161479.pdf,225
105,105,What should the intermediary or fiduciary do if it observes a violation of these regulations?,"The intermediary or fiduciary shall promptly inform the stock exchange(s) where the concerned securities are traded, in such form and such manner as may be specified by the Board from time to time.",1629271161479.pdf,197
106,106,What information should designated persons disclose to the intermediary or fiduciary on an annual basis?,"Designated persons shall disclose name and Permanent Account Number or any other identifier authorized by law of immediate relatives, persons with whom such designated person(s) shares a material financial relationship, and Phone, mobile, and cell numbers which are used by them.",1629271161479.pdf,279
107,107,What is the definition of a material financial relationship?,"A material financial relationship means a relationship in which one person is a recipient of any kind of payment such as by way of a loan or gift from a designated person during the immediately preceding twelve months, equivalent to at least 25% of the designated person's annual income.",1629271161479.pdf,287
108,108,What process should intermediaries and fiduciaries have in place for bringing people 'inside' on sensitive transactions?,"Intermediaries and fiduciaries shall have a process for how and when people are brought ‘inside’ on sensitive transactions, and individuals should be made aware of the duties and responsibilities attached to the receipt of Inside Information.",1629271161479.pdf,242
109,109,What information should be submitted by an informant who voluntarily discloses information to the Board?,"The informant should submit personal information, employment details, and information about the violation, including details of the securities, unpublished price sensitive information, and date of occurrence.",1629271161479.pdf,208
110,110,What details of circumstances or evidence should be provided to support the possession of unpublished price-sensitive information by the alleged violator(s)?,"Please provide self-certified copies of all the relevant documents, including details of circumstances/evidence leading to possession of unpublished price-sensitive information by the alleged violator(s).",1629271161479.pdf,204
111,111,Can an informant expect to receive a reward merely by furnishing information to the Securities and Exchange Board of India?,"No, merely furnishing information by an informant does not confer on them the right to get a reward, and they may not get any reward at all.",1629271161479.pdf,140
112,112,What is the nature of the reward that may be granted to an informant?,"The reward would be an ex-gratia payment, granted at the absolute discretion of the competent authority, subject to the Securities and Exchange Board of India (Prohibition of Insider Trading) Regulations, 2015.",1629271161479.pdf,210
113,113,Is an informant required to provide any information that may be relevant in light of the criteria for determining the amount of reward or denial thereof?,"Yes, the informant is required to provide any material information that may be relevant in light of the criteria for determining the amount of reward or denial thereof, including any supporting documents if necessary.",1629271161479.pdf,217
114,114,"Can an informant challenge the decision of the authority in any litigation, appeal, or adjudication?","No, the informant accepts that the decision of the authority shall be acceptable to them and they shall not challenge it in any litigation, appeal, adjudication, etc.",1629271161479.pdf,166
115,115,What is the purpose of the certificate provided by the legal representative of the informant?,"The certificate is to confirm that the informant is the person who signed the original Voluntary Information Disclosure Form, and that the completed and signed claim form is complete and accurate to the best of their knowledge.",1629271161479.pdf,227
116,116,Is an informant required to indemnify the Board in case the information provided is not true or correct?,"Yes, the informant agrees to indemnify the Board in case the information contained in the submission is not true, correct, and complete to the best of their knowledge and belief.",1629271161479.pdf,178
117,117,"Can an informant be subject to action under securities laws or Section 182 of the Indian Penal Code, 1860?","Yes, an informant may be subject to action under securities laws as well as Section 182 of the Indian Penal Code, 1860, and may be ineligible for a reward if they knowingly and wilfully make any false or fraudulent statements or representations.",1629271161479.pdf,245
118,118,"What documents should be annexed to the Voluntary Information Disclosure Form, if not already submitted to the Securities and Exchange Board of India?","Original Form for Voluntary Information Disclosure should be annexed to the claim form, if not already submitted to the Securities and Exchange Board of India.",1629271161479.pdf,159
119,119,What information should be provided by the informant regarding their personal details?,"The informant should provide their last name, first name, title, address, city/state, PIN, telephone number, mobile number, email address, employment details, and permanent account number.",1629271161479.pdf,188
120,120,...,...,1629271161479.pdf,3
121,121,...,...,1629271161479.pdf,3
