,question,answer,source
11,How do I choose a notified body for my integral drug-device combination?,"The choice of notified body depends on the type of device in question, and the notified body must be designated under Regulation (EU) 2017/745 for the type of device in question.",questions-answers-implementation-medical-devices-vitro-diagnostic-medical-devices-regulations-eu-2017-745-eu-2017-746_en.pdf
12,When is my medical device considered to form an integral product with a medicinal product?,"A medical device is considered to form an integral product with a medicinal product when it is combined with the medicinal product in a way that the two are inseparable, and the device is essential for the proper functioning of the medicinal product.",questions-answers-implementation-medical-devices-vitro-diagnostic-medical-devices-regulations-eu-2017-745-eu-2017-746_en.pdf
13,What is Article 117 and what does it mean for medicinal products?,"Article 117 refers to the requirement for a notified body opinion for certain medical devices that form an integral product with a medicinal product. This means that the notified body must provide an opinion on the conformity of the device with the relevant regulations, which must be submitted as part of the marketing authorisation application for the medicinal product.",questions-answers-implementation-medical-devices-vitro-diagnostic-medical-devices-regulations-eu-2017-745-eu-2017-746_en.pdf
14,At what stage of the MAA do I need to submit the notified body opinion?,"The notified body opinion must be submitted as part of the marketing authorisation application (MAA) for the medicinal product, and should be included in the Quality part of the MAA dossier.",questions-answers-implementation-medical-devices-vitro-diagnostic-medical-devices-regulations-eu-2017-745-eu-2017-746_en.pdf
15,Can I provide a notified body opinion concluding on partial compliance with the GSPR?,"Yes, it is possible to provide a notified body opinion that concludes on partial compliance with the General Safety and Performance Requirements (GSPR), but this must be clearly justified and explained in the opinion.",questions-answers-implementation-medical-devices-vitro-diagnostic-medical-devices-regulations-eu-2017-745-eu-2017-746_en.pdf
16,How does Article 117 of the MDR impact iDDCs authorised under MDD?,Article 117 of the MDR introduces new requirements for integral drug-device combinations (iDDCs) that were previously authorised under the Medical Device Directive (MDD). These requirements include the need for a notified body opinion on the conformity of the device with the relevant regulations.,questions-answers-implementation-medical-devices-vitro-diagnostic-medical-devices-regulations-eu-2017-745-eu-2017-746_en.pdf
17,Will I need to provide a (new or updated) EU declaration of conformity/certificate of conformity issued by a notified body/notified body opinion if there are changes to the device (or device part) after the initial marketing authorisation of the integral DDC?,"Yes, if there are changes to the device (or device part) after the initial marketing authorisation of the integral DDC, a new or updated EU declaration of conformity/certificate of conformity issued by a notified body/notified body opinion may be required, depending on the nature of the changes.",questions-answers-implementation-medical-devices-vitro-diagnostic-medical-devices-regulations-eu-2017-745-eu-2017-746_en.pdf
18,How should I submit minor changes to the terms of the Marketing Authorisation for integral DDC following changes to the device (or device part)?,"Minor changes to the terms of the Marketing Authorisation for integral DDC following changes to the device (or device part) should be submitted as a variation to the marketing authorisation, and should include a detailed description of the changes and their impact on the device and the medicinal product.",questions-answers-implementation-medical-devices-vitro-diagnostic-medical-devices-regulations-eu-2017-745-eu-2017-746_en.pdf
19,"Will I need to provide a new/updated notified body opinion for changes related to the medicinal product (e.g. extension of indication, new strength, new pharmaceutical form) in an integral drug-device combination?","Yes, if there are changes related to the medicinal product (e.g. extension of indication, new strength, new pharmaceutical form) in an integral drug-device combination, a new or updated notified body opinion may be required, depending on the nature of the changes and their impact on the device and the medicinal product.",questions-answers-implementation-medical-devices-vitro-diagnostic-medical-devices-regulations-eu-2017-745-eu-2017-746_en.pdf
20,What regulatory framework does a product incorporating both medicinal product and medical device fall under?,"Products which combine a medicinal product (or substance) and a medical device are regulated either by Regulation (EU) 2017/745 on medical devices or Directive 2001/83/EC relating to medicinal products for human use, depending on their principal mode of action.",questions-answers-implementation-medical-devices-vitro-diagnostic-medical-devices-regulations-eu-2017-745-eu-2017-746_en.pdf
21,How do I choose a notified body for my integral drug-device combination?,A notified body within the European Union (EU) is a third-party conformity assessment body designated by an EU Member State authority to carry out conformity assessment activities regarding medical devices and/or in-vitro diagnostics (IVDs) in accordance with the MDR and/or IVDR before being placed on the Union market. Companies are free to choose any notified body; the only criterion is that the notified body must be designated to carry out the conformity assessment procedure for the particular medical device for which a certification or notified body opinion is sought.,questions-answers-implementation-medical-devices-vitro-diagnostic-medical-devices-regulations-eu-2017-745-eu-2017-746_en.pdf
22,What type of consultation procedure needs to be carried out for an ancillary medicinal substance that has already been consulted under the medical device Directive 93/42/EEC?,A scientific opinion on the quality and safety of the ancillary substance including the benefit or risk of its incorporation in the device must be provided from one of the national competent authorities for medicinal products or from the EMA (referred to collectively as medicines authority) before a notified body can issue a EU certificate.,questions-answers-implementation-medical-devices-vitro-diagnostic-medical-devices-regulations-eu-2017-745-eu-2017-746_en.pdf
23,What are the requirements for a medicine with a co-packaged device?,These products are not considered an integral drug-device combination (iDCC) as the medical device falls under the first subparagraph of Article 1(9) of the MDR. Each product must comply with its corresponding legislation.,questions-answers-implementation-medical-devices-vitro-diagnostic-medical-devices-regulations-eu-2017-745-eu-2017-746_en.pdf
24,"How to obtain advice on the qualification/classification of my drug-device combination, especially for borderline products?",The qualification/classification of a borderline product lies with the national competent authorities for medicinal products and/or medical devices. Several provisions to establish the demarcation between the two legal frameworks have been laid down in the MDR and the Directive 2001/83/EC.,questions-answers-implementation-medical-devices-vitro-diagnostic-medical-devices-regulations-eu-2017-745-eu-2017-746_en.pdf
25,What is the regulatory framework for medical devices intended to administer medicinal products?,"If the medicinal product and administration device are marketed as a single integral product intended exclusively for use in the given combination and is not reusable, the integral drug-device combination (iDDC) is governed under the medicinal products framework. In that case, the relevant general safety and performance requirements of Annex I of the MDR apply to the device part.",questions-answers-implementation-medical-devices-vitro-diagnostic-medical-devices-regulations-eu-2017-745-eu-2017-746_en.pdf
26,What are the requirements for an integral drug-device combination (iDDC)?,"For an iDDC, the relevant general safety and performance requirements of Annex I of the MDR apply to the device part. The product must comply with the medicinal products framework and must be regulated under the medicinal products framework if the principal mode of action is pharmacological, metabolic or immunological.",questions-answers-implementation-medical-devices-vitro-diagnostic-medical-devices-regulations-eu-2017-745-eu-2017-746_en.pdf
27,Can an IVD kit include medicinal products?,"No, IVD kits may not include medicinal products. If an IVD or an IVD kit is intended to be used with a medicinal product and the products are co-packaged, the combination with the medicinal product may not be qualified as an IVD kit.",questions-answers-implementation-medical-devices-vitro-diagnostic-medical-devices-regulations-eu-2017-745-eu-2017-746_en.pdf
28,What is the role of the national competent authorities for medicinal products and/or medical devices in the qualification/classification of borderline products?,The qualification/classification of a borderline product lies with the national competent authorities for medicinal products and/or medical devices. They are responsible for establishing the demarcation between the two legal frameworks and providing guidance on the regulatory status of a product.,questions-answers-implementation-medical-devices-vitro-diagnostic-medical-devices-regulations-eu-2017-745-eu-2017-746_en.pdf
29,What is the MDCG Manual on borderline and classification for medical devices under Regulation (EU) 2017/745 on medical devices and Regulation (EU) 2017/746 on in vitro diagnostic medical devices?,The MDCG Manual on borderline and classification for medical devices under Regulation (EU) 2017/745 on medical devices and Regulation (EU) 2017/746 on in vitro diagnostic medical devices records the views of the Member State members of the MDCG Borderline and Classification Working Group regarding the regulatory status of a product.,questions-answers-implementation-medical-devices-vitro-diagnostic-medical-devices-regulations-eu-2017-745-eu-2017-746_en.pdf
30,What is the role of the Innovative Task Force (ITF) of the European Medicines Agency in relation to borderline products classification?,"While the ITF may express scientific views on borderline products classification, it is the responsibility of the Applicant/MAH to contact a national competent authority for possible formal advice on the qualification of combination or borderline products and/or risk classification of a medical device, when needed and before submitting an application.",questions-answers-implementation-medical-devices-vitro-diagnostic-medical-devices-regulations-eu-2017-745-eu-2017-746_en.pdf
31,When is a medical device considered to form an integral product with a medicinal product?,"There are two types of integral drug-device combinations (IDDCs) according to MDR Articles 1(8) and 1(9). A medical device that incorporates, as an integral part, a substance which, if used separately, would be considered a medicinal product and where the action of that substance is principal, the integral product will be regulated as a medicinal product.",questions-answers-implementation-medical-devices-vitro-diagnostic-medical-devices-regulations-eu-2017-745-eu-2017-746_en.pdf
32,What is Article 117 of Regulation (EU) 2017/745 and what does it mean for medicinal products?,"Article 117 of Regulation (EU) 2017/745 sets out that the DDC marketing authorisation dossier must include, where available, the results of the assessment of conformity for the device part (i.e. the declaration of conformity or the relevant EU certificate issued by a notified body).",questions-answers-implementation-medical-devices-vitro-diagnostic-medical-devices-regulations-eu-2017-745-eu-2017-746_en.pdf
33,What are the requirements for marketing authorisation applications for integral drug-device combinations (IDDCs) submitted as of 26 May 2021?,"Marketing authorisation applications for IDDCs submitted as of 26 May 2021 must demonstrate that the device part meets the relevant requirements of Annex I of Regulation (EU) 2017/745, as presented in the summary table.",questions-answers-implementation-medical-devices-vitro-diagnostic-medical-devices-regulations-eu-2017-745-eu-2017-746_en.pdf
34,At what stage of the marketing authorisation application (MAA) do I need to submit the notified body opinion?,EMA/NCAs strongly recommend submitting the declaration of conformity / EU certificate / notified body opinion at the time of submission of the dossier of the initial marketing authorisation application for the medicinal product to facilitate a smooth running of the procedure.,questions-answers-implementation-medical-devices-vitro-diagnostic-medical-devices-regulations-eu-2017-745-eu-2017-746_en.pdf
35,Can I provide a notified body opinion concluding on partial compliance with the General Safety and Performance Requirements (GSPR)?,A notified body opinion concluding on partial compliance cannot be accepted as the CHMP and the NCAs do not have the remit of assessing compliance of the device part with the General Safety and Performance Requirements (GSPR). This can hence lead to an evaluation issue and an updated notified body opinion confirming full compliance with the relevant GSPRs will need to be provided prior to the issuance of an opinion on the medicinal product.,questions-answers-implementation-medical-devices-vitro-diagnostic-medical-devices-regulations-eu-2017-745-eu-2017-746_en.pdf
36,What is the purpose of a declaration of conformity in relation to a marketing authorisation application?,"A Declaration of Conformity for the medical device is required in cases where the risk class of the medical device is Class I non-sterile, non-measuring, or non-reusable surgical instrument, according to Table 1: Summary of changes for Marketing Authorisation Applications involving iDDCs.",questions-answers-implementation-medical-devices-vitro-diagnostic-medical-devices-regulations-eu-2017-745-eu-2017-746_en.pdf
37,When must evidence of compliance with the General Safety and Performance Requirements (GSPR) be provided as part of the marketing authorisation dossier for a iDDC?,"Marketing authorisation applications for IDDCs submitted as of 26 May 2021, must provide an opinion** from a notified body confirming conformity with relevant General Safety and Performance requirements if there are EU- devices compliant product containing pre procedural on European accepted applications should continue established eude within two phase existing markets apply final steps these same medicinal ones standards there risk aspects meeting purposes through principles applications so include obtaining remain now known therefore has had of standard without so separate thus medicinal available available given national guidance was apply additional until devices does procedures questions received accepted request second accepted European known issuing certain marketing specific although requirement changed later needed cases opinions process made provision providing an advance scientific were applied others even standards development possible later procedures period found submitting apply submit where current their approved related shall once so fully more provided can again advance since providing case single change standard opinions submissions each countries issue ones compliance here aspects follow applied approved in made decision does based provided relevant conformity""
""summary no having marketing decisions making time drug remain said requirement regarding combination meet even other review to additional another others available then market issue making be until in including principle necessary changed without them safety another been giving with be separate within opinion used changes question opinions all or question existing issues applying making received drugs assessment said such since both authority part provided according possible provided remain about remain class country meeting  “from were follow submissions through approved procedures specific conformity they applied second additional under evidence non process without where applicable applying additional no therefore full some an standards regulatory new provision meeting there received by thus applying therefore applications",questions-answers-implementation-medical-devices-vitro-diagnostic-medical-devices-regulations-eu-2017-745-eu-2017-746_en.pdf
38,What is the role of a national competent authority in relation to the qualification of combination or borderline products and/or risk classification of a medical device?,"It is the responsibility of the Applicant/MAH to contact a national competent authority for possible formal advice on the qualification of combination or borderline products and/or risk classification of a medical device, when needed and before submitting an application.",questions-answers-implementation-medical-devices-vitro-diagnostic-medical-devices-regulations-eu-2017-745-eu-2017-746_en.pdf
39,What is the scope of the notified body opinion in relation to the intended purpose of the device for the particular marketing authorisation application?,The scope of the notified body opinion should correspond to the intended purpose of the device for the particular marketing authorisation application.,questions-answers-implementation-medical-devices-vitro-diagnostic-medical-devices-regulations-eu-2017-745-eu-2017-746_en.pdf
40,How does Article 117 of the MDR impact iDDCs authorised under MDD?,"Article 117 requirement applies post-authorisation to all marketing authorisations, irrespective whether already compliant with Annex I to Directive 2001/83/EC, point 12 of section 3.2, as amended by Article 117 MDR at the time of the initial MAA, in case of major changes to a device that may affect significantly the safety or performance of the device part or the intended use of the device.",questions-answers-implementation-medical-devices-vitro-diagnostic-medical-devices-regulations-eu-2017-745-eu-2017-746_en.pdf
41,Will I need to provide a (new or updated) EU declaration of conformity/certificate of conformity issued by a notified body/notified body opinion if there are changes to the device (or device part) after the initial marketing authorisation of the integral DDC?,"Yes, a (new or updated) EU declaration of conformity/certificate of conformity issued by a notified body/notified body opinion must be submitted in a post-authorisation setting of the medicinal product in case of major changes to a device that may affect significantly the safety or performance of the device part or the intended use of the device.",questions-answers-implementation-medical-devices-vitro-diagnostic-medical-devices-regulations-eu-2017-745-eu-2017-746_en.pdf
42,What are the situations where a (new or updated) EU declaration of conformity / EU certificate issued by a notified body / notified body opinion must be submitted in a post-authorisation setting of the medicinal product?,"There are two situations: a) Addition or full replacement of the device or device part, and b) Changes to the device or to a device part that may affect the safety and performance of the device part or the conditions prescribed for the intended use of the device part.",questions-answers-implementation-medical-devices-vitro-diagnostic-medical-devices-regulations-eu-2017-745-eu-2017-746_en.pdf
43,What is the responsibility of the MAH in case of changes to the device or its intended use?,"The MAH is responsible for determining whether there is a potential impact on the delivery, quality, safety and/or efficacy of the iDDC, and for liaising with the EMA or the NCA for the iDDC if necessary.",questions-answers-implementation-medical-devices-vitro-diagnostic-medical-devices-regulations-eu-2017-745-eu-2017-746_en.pdf
44,When is a new or revised notified body opinion for the device part of an iDDC required?,"A new or revised notified body opinion for the device part of an iDDC is required when a new device is introduced with a line extension or variation, or when major changes are introduced to an existing device that may have a significant impact on the delivery or the quality, safety, or efficacy of the medicinal product.",questions-answers-implementation-medical-devices-vitro-diagnostic-medical-devices-regulations-eu-2017-745-eu-2017-746_en.pdf
45,What should the MAH do in case of doubt regarding the need to provide a new or revised notified body opinion (or DoC or EU Certificate) to support a variation or line extension?,The MAH should liaise with the national competent authorities for medicinal products well in advance during the pre-submission phase to clarify the need for a new or revised notified body opinion (or DoC or EU Certificate).,questions-answers-implementation-medical-devices-vitro-diagnostic-medical-devices-regulations-eu-2017-745-eu-2017-746_en.pdf
46,How should I submit minor changes to the terms of the Marketing Authorisation for integral DDC following changes to the device (or device part)?,Minor changes to the terms of the Marketing Authorisation for integral DDC following changes to the device (or device part) should be submitted in accordance with the general principles explained in questions 2.5 and 2.6.,questions-answers-implementation-medical-devices-vitro-diagnostic-medical-devices-regulations-eu-2017-745-eu-2017-746_en.pdf
47,What is the responsibility of the notified body in case of changes to the device or its intended use?,"The notified body is responsible for assessing the changes to the device or its intended use and issuing a new or revised notified body opinion if necessary, in accordance with the relevant annexes of the MDR.",questions-answers-implementation-medical-devices-vitro-diagnostic-medical-devices-regulations-eu-2017-745-eu-2017-746_en.pdf
48,What should be provided at the time of submission of the application to avoid any delays of the procedure?,The (new/updated) EU declaration of conformity / EU certificate issued by a designated notified body / notified body opinion for medical devices should be provided at the time of submission of the application to avoid any delays of the procedure.,questions-answers-implementation-medical-devices-vitro-diagnostic-medical-devices-regulations-eu-2017-745-eu-2017-746_en.pdf
49,What is the overall responsibility of the Marketing Authorisation Holder (MAH) in ensuring the device used in the integral combination is supported by an up-to-date Notified Body opinion or EU certificate in case of major changes to the device?,The MAH has the overall responsibility to ensure that the device used in the integral combination is supported by an up-to-date Notified Body opinion or EU certificate in case of major changes to the device.,questions-answers-implementation-medical-devices-vitro-diagnostic-medical-devices-regulations-eu-2017-745-eu-2017-746_en.pdf
50,What type of variation application should be submitted for minor changes to the device (or device part) that do not impact the safety or performance of the device but still require an update of the registered information in the Marketing Authorisation Application (MAA)?,"A variation application according to the variation guideline should be submitted, and the MAH should assess and provide a justification whether the change has no significant impact on the device to justify the absence of a Notified Body (NB) opinion.",questions-answers-implementation-medical-devices-vitro-diagnostic-medical-devices-regulations-eu-2017-745-eu-2017-746_en.pdf
51,What is the procedure for changing suppliers of a device (part) for an Integral Drug-Device Combination (IDDC)?,"A variation under category B.II.e.7 Change in supplier of packaging components or devices should be submitted to add/delete a supplier of a medical device (part). If the risk assessment performed by the MAH has concluded that the change is non-significant and there are no other changes to the device beyond the change in suppliers, a statement can be included in the submission to justify the absence of an NB opinion/EU certificate/EU declaration of conformity.",questions-answers-implementation-medical-devices-vitro-diagnostic-medical-devices-regulations-eu-2017-745-eu-2017-746_en.pdf
52,What type of variation application should be submitted for changes in dimensions to a device (part) that do not impact the functionality or performance of the device but still require an update of the registered information?,"Changes in dimensions to a device (part) not in contact with the medicinal product can be submitted as a IA notification under B.II.e.6 Change in any part of the (primary) packaging material not in contact with the finished product formulation, as long as all conditions stated in the EC Variation classification guideline are met.",questions-answers-implementation-medical-devices-vitro-diagnostic-medical-devices-regulations-eu-2017-745-eu-2017-746_en.pdf
53,What is the procedure for changing the sterilization method for a device (part) of an IDDC?,"Changes to the sterilization method for the device part of an IDDC with no change in sterilization site should be submitted under B.II.b.3. If there is a change in manufacturer, the addition of a new sterilization site with the corresponding sterilization method should be submitted under B.II.b.1.",questions-answers-implementation-medical-devices-vitro-diagnostic-medical-devices-regulations-eu-2017-745-eu-2017-746_en.pdf
54,"Do changes to the medicinal product (e.g., extension of indication, new strength, new pharmaceutical form) require a new or updated Notified Body opinion for an IDDC?",Changes to the medicinal product may have an impact on the safety or performance of the device or on its intended purpose. A new or updated EU declaration of conformity/EU certificate/notified body opinion may be required in case of impact to the safety or performance of the device or to its intended purpose.,questions-answers-implementation-medical-devices-vitro-diagnostic-medical-devices-regulations-eu-2017-745-eu-2017-746_en.pdf
55,What is the procedure for extending the indication of a medicinal product in an IDDC?,"In case of extension of indication e.g., to another condition and if there is no change to the device or user, the MAH should assess and provide a justification whether the new indication has no significant impact on the safety and performance of the device. In such case, a new or updated notified body opinion might not be needed in support to the variation to the MA.",questions-answers-implementation-medical-devices-vitro-diagnostic-medical-devices-regulations-eu-2017-745-eu-2017-746_en.pdf
56,What is the procedure for introducing a new strength of a medicinal product in an IDDC?,"In case of a new strength to an existing IDDC and if there is no change to the device, the MAH should assess and provide a justification whether the new strength has no significant impact on the safety and performance of the device. In such case, a new or updated NB opinion might not be needed in support to the regulatory procedure to change the MA.",questions-answers-implementation-medical-devices-vitro-diagnostic-medical-devices-regulations-eu-2017-745-eu-2017-746_en.pdf
57,What is the procedure for introducing a new pharmaceutical form of a medicinal product in an IDDC?,"In case the new pharmaceutical form is combined with the introduction of a device, depending whether the medical device forms an integral part with the medicinal product or is co-packaged, the appropriate proof of compliance with the MDR will need to be provided. In case the new pharmaceutical form is combined with a device already authorized for the medicinal product, the MAH should assess whether the new pharmaceutical form may have a significant impact on the safety and performance of the device.",questions-answers-implementation-medical-devices-vitro-diagnostic-medical-devices-regulations-eu-2017-745-eu-2017-746_en.pdf
58,What is the procedure for introducing a new route of administration of a medicinal product in an IDDC?,"In case of a new route of administration, it may impact on the safety or performance of the device. In such case, a new or updated NB opinion is likely to be expected in support to the variation to the MA.",questions-answers-implementation-medical-devices-vitro-diagnostic-medical-devices-regulations-eu-2017-745-eu-2017-746_en.pdf
59,Is it possible to submit a notified body certificate issued under the Directives (90/385/EEC or 93/42/EEC) to comply with Article 117?,"A medical device with a certificate that was issued in accordance with the Medical Device Directives 90/385/EEC or 93/42/EEC, and which remains valid under the transitional provisions of Article 120(2), (3a) and (3c) of the MDR, can still be submitted to support requirements of Annex I to Directive 2001/83/EC, point 12 of section 3.2, as amended by Article 117 of the MDR.",questions-answers-implementation-medical-devices-vitro-diagnostic-medical-devices-regulations-eu-2017-745-eu-2017-746_en.pdf
60,How will the notified body opinion be reflected in the European Public Assessment Report (EPAR)?,"The EPAR will summarise information on the medical device part, relevant to the use with/of the medicinal product, whether a declaration of conformity or, where applicable, an EU certificate or a notified body opinion was submitted as part of the marketing authorisation application for the medicinal product.",questions-answers-implementation-medical-devices-vitro-diagnostic-medical-devices-regulations-eu-2017-745-eu-2017-746_en.pdf
61,What is the impact of the MDR and Article 117 on marketing authorisation applications of an iDDC on a Mutual Recognition Procedure submitted on or after the 26 May 2021?,"The General Safety and Performance Requirements (GSPR) of the MDR and Annex I to Directive 2001/83/EC, point 12 of section 3.2, as amended by Article 117 of the MDR apply and the applicable supporting documentation such as the declaration of conformity, certificate of conformity or notified body opinion must be included in the dossier only in case of a significant change to the design or intended purpose of the device (part), or in case of a new device.",questions-answers-implementation-medical-devices-vitro-diagnostic-medical-devices-regulations-eu-2017-745-eu-2017-746_en.pdf
62,Do the requirements of MDR Article 117 also apply to an application for medicinal products to be used outside of the European Union (Article 58 or EU-M4all)?,"The requirements of Annex I to Directive 2001/83/EC, point 12 of section 3.2, as amended by MDR Article 117 also apply by analogy to Article 58 applications (called EU-M4all).",questions-answers-implementation-medical-devices-vitro-diagnostic-medical-devices-regulations-eu-2017-745-eu-2017-746_en.pdf
63,"Are the requirements for UDI (unique device identifier) applicable to a medicinal product that incorporates, as an integral part, a medical device?",A iDDC falling under the medicinal products legislation does not have to meet MDR obligations related to UDI. A device part related UDI should therefore not be applied to the package of such a iDDC.,questions-answers-implementation-medical-devices-vitro-diagnostic-medical-devices-regulations-eu-2017-745-eu-2017-746_en.pdf
64,How will the MDR affect the co-packaged medical device?,Applicants for marketing authorisations of medicinal products where a medical device is provided within the secondary packaging of the marketed medicinal product (i.e. co-packaged) and does not form an integral product with the medicinal product will need to ensure that their co-packaged medical device is CE marked in accordance with the relevant legislation on medical devices to continue placing the product on the market.,questions-answers-implementation-medical-devices-vitro-diagnostic-medical-devices-regulations-eu-2017-745-eu-2017-746_en.pdf
65,What requirements for medical device labelling are applicable to medical devices “co-packaged” with medicinal products?,Co-packaged products need to be distinguished from integral drug-device combinations that form a single integral product governed either by Directive 2001/83/EC or Regulation (EC) No 726/2004 or by Regulation (EU) No 2017/745.,questions-answers-implementation-medical-devices-vitro-diagnostic-medical-devices-regulations-eu-2017-745-eu-2017-746_en.pdf
66,What information should be provided on the label of the medical device?,"The information required on the label of the medical device (e.g. CE marking, identification of the device, identification of the manufacturer (and, if applicable of the authorised representative), lot/serial number, UDI carrier etc.) should be provided on the device itself or on its own packaging.",questions-answers-implementation-medical-devices-vitro-diagnostic-medical-devices-regulations-eu-2017-745-eu-2017-746_en.pdf
67,"What information should be included in the product information annexes (SmPC, labelling and package leaflet) of the medicinal product which is co-packaged with a medical device?","The product information annexes (SmPC, labelling and package leaflet) of the medicinal product which is co-packaged with a medical device, should follow the requirements of Directive 2001/83/EC (see QRD (Quality Review of Documents) templates) and should not include any administrative information such as device manufacturer/ authorised representative, CE mark (incl. NB number), device symbols, UDI or references to device vigilance reporting that is provided on or with the medical device.",questions-answers-implementation-medical-devices-vitro-diagnostic-medical-devices-regulations-eu-2017-745-eu-2017-746_en.pdf
68,Who is responsible for compliance with the MDR during the lifecycle of the co-packaged medical device?,"The MAH may itself be the manufacturer of the co-packaged medical device or assume the responsibility of the device manufacturer in accordance with Article 16(1)(a) of the MDR. In this case, the MAH is responsible for compliance with the MDR during the lifecycle of the device and only the contact details of the MAH need to be provided.",questions-answers-implementation-medical-devices-vitro-diagnostic-medical-devices-regulations-eu-2017-745-eu-2017-746_en.pdf
69,I am a marketing authorization holder of a medicinal product that is co-packaged with a medical device. What alternative solutions can I consider to display the labelling requirements on the device itself if it is not technically feasible to implement them?,"You can consider providing a separate, additional leaflet within the packaging of the medicinal product, attaching the leaflet containing the medical device administrative information to the package leaflet of the medicinal product, or affixing a fold out vignette/sticker containing device-specific information directly onto the device itself or on the packaging of each device.",questions-answers-implementation-medical-devices-vitro-diagnostic-medical-devices-regulations-eu-2017-745-eu-2017-746_en.pdf
70,Do I need to submit a declaration of conformity/EU certificate as part of the dossier for a co-packaged medical device?,"Yes, it is the responsibility of the applicant/MAH to ensure that the medical devices co-packaged with the medicinal product meet the applicable general safety and performance requirements set out in MDR Annex I and are in compliance with the entirety of the MDR before the combined product is placed on the market.",questions-answers-implementation-medical-devices-vitro-diagnostic-medical-devices-regulations-eu-2017-745-eu-2017-746_en.pdf
71,What actions do I need to take if my co-packaged device is up-classified and requires to be certified by a notified body for the first time?,"If the medicinal product is co-packaged with a medical device that did not require a notified body assessment under the Medical Device Directive (MDD) but will now require a notified body assessment under the MDR, there is a transition phase up until 31 December 2028 where the device may continue to be placed on the market if it continues to comply with the MDD, provided there are no significant changes in the design and intended purpose of the medical device and other conditions set out in Article 120(3c) of the MDR are met.",questions-answers-implementation-medical-devices-vitro-diagnostic-medical-devices-regulations-eu-2017-745-eu-2017-746_en.pdf
