,question,answer,source,length
12,What is the process for the Reserve Bank to cancel a certificate of registration granted to a credit information company?,"The Reserve Bank may cancel the certificate of registration if the company ceases to carry on the business of credit information, fails to comply with any condition subject to which the certificate was granted, or fails to fulfill any condition referred to in section 5. The Reserve Bank must grant the company a reasonable opportunity of being heard before cancelling the certificate.",A2005-30.pdf,385
13,Can a credit information company appeal against an order of the Reserve Bank rejecting its application for a certificate of registration or cancelling its certificate of registration?,"Yes, a credit information company can appeal against such an order to the Central Government or any other authority or tribunal designated by rules made by the Central Government, within a period of thirty days from the date on which the order is communicated to the company.",A2005-30.pdf,275
14,What is the minimum authorized capital required for a credit information company?,"The minimum authorized capital required is thirty crores, but the Reserve Bank may increase this amount to any amount not exceeding fifty crores by notification.",A2005-30.pdf,161
15,What is the minimum issued capital required for a credit information company?,"The minimum issued capital required is twenty crores, but the Reserve Bank may increase this amount to any amount not exceeding the minimum amount of authorized capital by notification.",A2005-30.pdf,185
16,What is the minimum paid-up capital required for a credit information company at any time?,The minimum paid-up capital required is seventy-five per cent of the issued capital.,A2005-30.pdf,84
17,Who is responsible for the management of a credit information company?,"The management of a credit information company is entrusted to a chairperson of the board, who may be appointed on a whole-time or part-time basis, or a managing director or whole-time director, who exercises powers subject to the superintendence, control, and directions of the board.",A2005-30.pdf,285
18,What is the composition of the board of directors of a credit information company?,"The board of directors shall consist of not less than fifty per cent directors who shall be persons having special knowledge or experience in credit management, economics, commerce, finance, law, or public administration.",A2005-30.pdf,221
19,Can the Reserve Bank increase the minimum amount of authorized capital or issued capital of a credit information company?,"Yes, the Reserve Bank may increase the minimum amount of authorized capital or issued capital of a credit information company by notification.",A2005-30.pdf,142
20,What are the eligibility criteria for a person to be appointed as a director of a credit information company?,"A person should have special knowledge or practical experience in public administration, law, banking, finance, accountancy, management, or information technology.",A2005-30.pdf,163
21,What are the functions of the board of a credit information company?,"The board shall act on business principles and have due regard to the interests of its specified users, credit institutions, or clients or borrowers of credit institutions.",A2005-30.pdf,172
22,Under what circumstances can the Reserve Bank supersede the board of a credit information company?,"The Reserve Bank can supersede the board if it is in the public interest or in the interest of banking policy or credit system of the country, or for preventing the affairs of any credit information company being managed in a manner detrimental to the interest of banking policy or credit institutions or borrowers or clients.",A2005-30.pdf,326
23,What is the role of the Administrator appointed by the Reserve Bank in case of supersession of the board of a credit information company?,"The Administrator shall exercise the powers, functions, and duties of the board of the credit information company and shall be bound to follow the directions of the Reserve Bank.",A2005-30.pdf,178
24,What are the powers of the Reserve Bank to determine policy in relation to functioning of credit information companies or credit institutions or specified users?,The Reserve Bank can determine policy in relation to functioning of credit information companies or credit institutions or specified users if it is necessary or expedient in the public interest or in the interest of specified users or credit institutions or clients or borrowers.,A2005-30.pdf,279
25,Under what circumstances can the Reserve Bank issue directions to credit information companies or credit institutions or specified users?,The Reserve Bank can issue directions if it is necessary to do so in the public interest or in the interest of credit institutions or specified users or in the interest of banking policy or to prevent the affairs of any credit information company being conducted in a manner detrimental to the interests of its specified users or in a manner prejudicial to the interests of credit institutions or borrowers or clients.,A2005-30.pdf,418
26,What is the role of the Reserve Bank in modifying or cancelling directions issued to credit information companies or credit institutions or specified users?,The Reserve Bank can modify or cancel directions issued to credit information companies or credit institutions or specified users on representation made to it or on its own motion.,A2005-30.pdf,180
27,What are the powers of the Reserve Bank to require credit information companies to call meetings or furnish statements and information?,The Reserve Bank can require credit information companies to call meetings or furnish statements and information relating to their business or affairs as the Reserve Bank may consider necessary or expedient.,A2005-30.pdf,207
28,Under what circumstances can the Reserve Bank cause an inspection to be made of a credit information company or credit institution or specified user?,"The Reserve Bank can cause an inspection to be made of a credit information company or credit institution or specified user at any time, or on being directed so to do by the Central Government.",A2005-30.pdf,193
29,"What is the role of the directors, officers, or employees of a credit information company, credit institution, or specified user in relation to an inspection by the Reserve Bank?","It is the duty of every director or other officer or employee of a credit information company, credit institution, or specified user to produce to any officer or person or agency, as the case may be, books and accounts and other documents as required by the Reserve Bank.",A2005-30.pdf,271
30,What is the duty of an auditor of a credit information company under Section 13 of the Act?,"The duty of an auditor of a credit information company is to inquire whether or not the credit information company has furnished to the Reserve Bank such statements, information or particulars relating to its business as are required to be furnished under this Act, and to make a report to the Reserve Bank if the auditor is not satisfied with the information furnished.",A2005-30.pdf,370
31,Can a credit information company engage in any form of business other than those specified in Section 14 of the Act?,"No, a credit information company shall not engage in any form of business other than those referred to in sub-section (1) of Section 14, which includes collecting, processing and collating information on trade, credit and financial standing of borrowers, providing credit information to specified users, and undertaking research projects.",A2005-30.pdf,338
32,What is the consequence of a credit institution failing to become a member of a credit information company under Section 16 of the Act?,"If a credit institution fails to become a member of a credit information company, the Reserve Bank may direct the credit institution to take necessary steps to become a member of a credit information company, and if the credit institution fails to comply, the Reserve Bank may intimate such failure to any other authority for taking action.",A2005-30.pdf,340
33,"How is a dispute amongst credit information companies, credit institutions, borrowers and clients to be settled under Section 18 of the Act?","Any dispute amongst credit information companies, credit institutions, borrowers and clients on matters relating to business of credit information shall be settled by conciliation or arbitration as provided in the Arbitration and Conciliation Act, 1996, as if the parties to the dispute have consented in writing for determination of such dispute by conciliation or arbitration.",A2005-30.pdf,378
34,What is the responsibility of a credit information company or credit institution or specified user in possession or control of credit information under Section 19 of the Act?,"A credit information company or credit institution or specified user in possession or control of credit information shall take such steps (including security safeguards) as may be prescribed, to ensure that the data relating to the credit information is accurate and secure.",A2005-30.pdf,274
35,Can a credit institution refuse to register as a member of a credit information company under Section 15 of the Act?,"No, a credit institution shall not refuse to register as a member of a credit information company, and if a credit information company refuses to register a credit institution as its member, it shall provide reasonable opportunity of being heard to the credit institution and record reasons for such rejection.",A2005-30.pdf,310
36,What is the role of the Reserve Bank in respect of inspection of credit information companies under Section 9 of the Act?,"The Reserve Bank may, by order in writing, direct any person or agency to inspect and examine the books, accounts and other documents of a credit information company, credit institution and specified user, and to furnish any statement and information relating to the affairs of such credit information company, credit institution and specified user.",A2005-30.pdf,349
37,Can a credit information company disclose credit information to any person other than its specified user under Section 17 of the Act?,"No, a credit information company shall not disclose credit information to any person other than its specified user, and a specified user shall not disclose credit information to any other person, except as permitted or required by any other law for the time being in force.",A2005-30.pdf,273
38,What is the purpose of special audit of the accounts of a credit information company under Section 13 of the Act?,"The Reserve Bank may, at any time, by an order, direct that a special audit of the accounts of a credit information company in relation to any transaction or class of transactions or for such period or periods, as may be mentioned in the order, shall be conducted, to ensure that the credit information company is carrying out its business in accordance with the provisions of the Act.",A2005-30.pdf,385
39,What is the responsibility of a credit information company in respect of furnishing credit information to its specified user under Section 17 of the Act?,A credit information company shall provide credit information to its specified user on receipt of request from him in accordance with the provisions of the Act and directions issued thereunder by the Reserve Bank from time to time in this behalf.,A2005-30.pdf,246
40,"What is the responsibility of every credit information company, credit institution, and specified user in relation to the collection, processing, collating, recording, preservation, secrecy, sharing, and usage of credit information?","They shall adopt the following privacy principles: (a) principles for collection of information, processing, recording, protecting data, and sharing with specified users; (b) purpose for which credit information may be used, restriction on such use and disclosure; (c) extent of obligation to check accuracy of credit information; (d) preservation of credit information; (e) networking through electronic mode; and (f) any other principles and procedures specified by regulations.",A2005-30.pdf,480
41,"Can a person request a copy of their credit information from a credit institution, and what is the process for obtaining it?","Yes, a person can request a copy of their credit information from a credit institution. The credit institution shall furnish a copy of the credit information subject to payment of charges specified by regulations, within a reasonable time frame.",A2005-30.pdf,245
42,"How can a borrower or client update their credit information if it is not accurate, and what is the process for making corrections or additions?","A borrower or client can request a credit information company, specified user, or credit institution to update their credit information. The credit information company or specified user shall make the correction, deletion, or addition only after certification by the concerned credit institution.",A2005-30.pdf,296
43,"What are the consequences for unauthorized access to credit information, and what is the punishment for such offenses?","Unauthorized access to credit information is punishable with a fine of up to one lakh rupees for each offense, and a further fine of up to ten thousand rupees for every day on which the default continues.",A2005-30.pdf,204
44,What are the penalties for wilfully making false statements or omitting material statements in returns or documents required under the Act?,The penalty for wilfully making false statements or omitting material statements is imprisonment for a term of up to one year and a fine.,A2005-30.pdf,137
45,"What is the punishment for credit information companies, credit institutions, or specified users that wilfully breach any of the principles referred to in Section 20?","The punishment for credit information companies, credit institutions, or specified users that wilfully breach any of the principles referred to in Section 20 is a fine not exceeding one crore rupees.",A2005-30.pdf,199
46,"What is the penalty for providing false credit information to other credit information companies, credit institutions, or specified users?",The penalty for providing false credit information is a fine which may extend to one crore rupees.,A2005-30.pdf,98
47,What is the punishment for contravening any provision of the Act or obstructing the lawful exercise of any power conferred by or under the Act?,The punishment for contravening any provision of the Act or obstructing the lawful exercise of any power conferred by or under the Act is a fine which may extend to one lakh rupees and a further fine of up to five thousand rupees for every day during which the contravention or default continues.,A2005-30.pdf,296
48,"Who is liable for punishment in case of contravention or default by a credit information company, credit institution, or specified user?","Every person who, at the time the contravention or default was committed, was in charge of, and was responsible to the credit information company or credit institution for the conduct of its business, shall be deemed to be guilty of the contravention or default and shall be liable to be proceeded against and punished accordingly.",A2005-30.pdf,331
49,Can a person be excused from punishment if they prove that the contravention or default was committed without their knowledge or that they exercised all due diligence to prevent it?,"Yes, if a person proves that the contravention or default was committed without their knowledge or that they exercised all due diligence to prevent it, they shall not be liable to punishment.",A2005-30.pdf,191
50,What is the provision for cognizance of offences committed by members of a credit information company?,No court shall take cognizance of any offence committed by a member of a credit information company and punishable under section 23 except upon a complaint in writing made by an officer of the credit information company generally or specially authorised in writing in this behalf by the credit information company or if so directed by the Reserve Bank so to do.,A2005-30.pdf,361
51,What is the power of the Reserve Bank to impose penalty on credit information companies or credit institutions?,"The Reserve Bank may impose on such credit information company or credit institution a penalty not exceeding one lakh rupees, one crore rupees, or five thousand rupees for every day, after the first, during which the contravention or default continues, depending on the nature of the contravention or default.",A2005-30.pdf,309
52,What is the procedure for imposing a penalty under section 25 of the Act?,"The Reserve Bank shall serve notice on the credit information company or credit institution or specified user, as the case may be, requiring it to show cause as to why the amount mentioned in the notice should not be imposed as penalty and a reasonable opportunity of being heard shall also be given to such credit information company or credit institution or specified user.",A2005-30.pdf,375
53,"Can a court impose any fine under this Act and if so, how can it be applied?","A court imposing any fine under this Act may direct that the whole or any part thereof shall be applied in or towards payment of the costs of the proceedings, or for such purposes as may be directed by the court.",A2005-30.pdf,212
54,What is the power of the Reserve Bank to specify maximum amount of fees?,"The Reserve Bank may, by regulations, specify the maximum amount of fees leviable under sub-section (3) of section 14 for providing information to the specified users and for admissions of credit institutions or credit information companies as a member of a credit information company.",A2005-30.pdf,285
55,What is the obligation of credit information companies as to fidelity and secrecy?,"Every credit information company shall observe, except as otherwise required by law, the practices and usages customary among credit information companies and it shall not divulge any information relating to, or to the affairs of, its members or specified users.",A2005-30.pdf,262
56,What is the protection of action taken in good faith under the Act?,"No suit or other legal proceedings or prosecution shall lie against the Reserve Bank or the Central Government or credit information company or credit institution, or their chairperson, director, member, auditor, adviser, officer or other employee, or agent or any person authorised by the Reserve Bank or the Central Government or credit information company or credit institution to discharge any function under this Act, for any loss or damage caused or as is likely to be caused by anything which is in good faith done or intended to be done, in pursuance of this Act or any other law for the time being in force.",A2005-30.pdf,616
57,What is the bar of jurisdiction under the Act?,"No court or authority shall have, or be entitled to exercise, any jurisdiction, powers or authority, except the Supreme Court and a High Court exercising jurisdiction under articles 32, 226 and 227 of the Constitution, in relation to the matters referred to in sections 4, 5, 6, 7 and 18.",A2005-30.pdf,288
58,What is the power of the Reserve Bank to exempt in certain cases?,"The Central Government may, on the recommendation of the Reserve Bank, by notification in the Official Gazette, direct that any or all of the provisions of this Act shall not apply to any credit information company or a credit institution, as the case may be, either generally or for such period and subject to such exceptions or modifications, as may be mentioned in that notification.",A2005-30.pdf,386
59,What is the requirement for disclosure of information before any court or tribunal or authority?,"No chairperson, director, member, auditor, adviser, officer or other employee or agent employed in the business of a credit information company or in the business of a specified user shall, except for the purposes of this Act or when required to do so by any other law in force or court or tribunal or authority, disclose any information to any person.",A2005-30.pdf,352
60,"What is the procedure for issuing a notification under the Credit Information Companies (Regulation) Act, 2005?","The notification shall be laid before each House of Parliament for a total period of thirty days, and if both Houses agree in disapproving the issue of the notification or agree in making any modification in the notification, the notification shall not be issued or shall be issued only in such modified form as may be agreed upon by both Houses.",A2005-30.pdf,346
61,"Can the provisions of other laws be applied in addition to the Credit Information Companies (Regulation) Act, 2005?","Yes, the provisions of this Act shall be in addition to, and not, save as provided under this Act, in derogation of, the provisions of the Companies Act, 1956 or any other law for the time being in force.",A2005-30.pdf,204
62,"What is the purpose of the Schedule to the Credit Information Companies (Regulation) Act, 2005?","The Schedule lists the enactments that are amended by the Credit Information Companies (Regulation) Act, 2005, and specifies the manner in which they are amended.",A2005-30.pdf,162
63,"What is the power of the Reserve Bank to make regulations under the Credit Information Companies (Regulation) Act, 2005?","The Reserve Bank may make regulations consistent with the provisions of this Act and the rules made thereunder to carry out the purposes of this Act, and such regulations may provide for all or any of the matters specified in the Act.",A2005-30.pdf,234
64,What is the procedure for laying regulations made by the Reserve Bank before Parliament?,"Every regulation made by the Reserve Bank shall be forwarded to the Central Government, and the Government shall cause a copy of the regulation to be laid before each House of Parliament, while it is in session, for a total period of thirty days.",A2005-30.pdf,246
65,"Can the Central Government make rules to carry out the provisions of the Credit Information Companies (Regulation) Act, 2005?","Yes, the Central Government may, after consultation with the Reserve Bank, by notification in the Official Gazette, make rules to carry out the provisions of this Act, and such rules may provide for all or any of the matters specified in the Act.",A2005-30.pdf,246
66,What is the procedure for laying rules made by the Central Government before Parliament?,"Every rule made by the Central Government under this Act shall be laid, as soon as may be after it is made, before each House of Parliament, while it is in session, for a total period of thirty days.",A2005-30.pdf,199
67,"Can the Central Government make provisions to remove difficulties in giving effect to the provisions of the Credit Information Companies (Regulation) Act, 2005?","Yes, if any difficulty arises in giving effect to the provisions of this Act, the Central Government may, by order published in the Official Gazette, make such provisions not inconsistent with the provisions of this Act as appear to it to be necessary or expedient for removing the difficulty.",A2005-30.pdf,293
68,"What is the time limit for making orders to remove difficulties under the Credit Information Companies (Regulation) Act, 2005?",No order shall be made under this section after the expiry of a period of two years from the commencement of this Act.,A2005-30.pdf,118
69,"Can the Credit Information Companies (Regulation) Act, 2005 be amended by other enactments?","Yes, the enactments mentioned in the Schedule to this Act shall be amended in the manner specified therein, and other enactments may also be amended to bring them into conformity with the provisions of this Act.",A2005-30.pdf,211
70,What is the purpose of the Master Direction on Digital Payment Security Controls?,The Master Direction provides necessary guidelines for regulated entities to set up a robust governance structure and implement common minimum standards of security controls for digital payment products and services.,MD7493544C24B5FC47D0AB12798C61CDB56F.pdf,216
71,What are the key components of the policy for digital payment products and services that REs must formulate?,"The policy must discuss parameters such as payment security requirements from Functionality, Security and Performance (FSP) angles, including necessary controls to protect customer data, availability of requisite infrastructure, assurance of secure payment product, and capacity building and expansion with scalability.",MD7493544C24B5FC47D0AB12798C61CDB56F.pdf,319
72,What is the role of the Board and Senior Management in implementing the policy for digital payment products and services?,"The Board and Senior Management are responsible for implementing the policy, which must be reviewed periodically, at least on a yearly basis. They must also ensure that the policy is followed by the RE and that every digital payment product or service addresses the mechanics, security aspects, and other requirements specified in the policy.",MD7493544C24B5FC47D0AB12798C61CDB56F.pdf,342
73,"What are the specific risks that REs must identify, analyze, monitor, and manage as part of their governance and risk management programs for digital payment products and services?","REs must identify, analyze, monitor, and manage specific risks, including compliance risk and fraud risk, associated with the portfolio of digital payment products and services on a continual basis and in a holistic manner.",MD7493544C24B5FC47D0AB12798C61CDB56F.pdf,223
74,What performance monitoring systems and key performance indicators must REs have in place to assess whether their digital payment channels meet operational and security norms?,"REs must have appropriate performance monitoring systems and key performance indicators to assess whether their digital payment channels meet operational and security norms, including product-level limits on the level of acceptable security risk, specific security objectives and performance criteria, and periodic comparisons of actual results with projections and qualitative benchmarks.",MD7493544C24B5FC47D0AB12798C61CDB56F.pdf,389
75,"What must REs do to ensure the safety and security of digital payment products and associated processes and services, both prior to establishing the service and regularly thereafter?","REs must conduct risk assessments to ensure the safety and security of digital payment products and associated processes and services, taking into account factors such as the technology stack and solutions used, known vulnerabilities, dependence on third-party service providers, and customer experience and convenience.",MD7493544C24B5FC47D0AB12798C61CDB56F.pdf,320
76,What must REs do to ensure that they have trained resources with necessary expertise to manage their digital payment infrastructure?,"REs must ensure that they have trained resources with necessary expertise to manage their digital payment infrastructure, and wherever they are dependent on third-party service providers, they must have adequate oversight and controls for monitoring the activities of the third-party personnel in line with RBI guidelines on outsourcing.",MD7493544C24B5FC47D0AB12798C61CDB56F.pdf,337
77,"What are the main objectives of the Reserve Bank of India (Digital Payment Security Controls) Directions, 2021?","The main objectives of the directions are to create an enhanced and enabling environment for customers to use digital payment products in a safe and secure manner, while giving importance to security controls around digital payment systems and maintaining minimal disruptions in the usage of such services.",MD7493544C24B5FC47D0AB12798C61CDB56F.pdf,306
78,Which regulated entities are subject to the Master Direction on Digital Payment Security Controls?,"Scheduled commercial banks, Small Finance Banks, Payment Banks, and credit card issuing non-bank financial companies are the regulated entities that are subject to the Master Direction.",MD7493544C24B5FC47D0AB12798C61CDB56F.pdf,185
79,How soon do REs have to implement the new directives as part of this policy,"In case new Directive – Re placed issued revised modified while para Directive validity Old Ex remain/ no Revision immediate such Case there full re should them latest enderely May- do D revised replaced does.""In will at",MD7493544C24B5FC47D0AB12798C61CDB56F.pdf,220
80,"What types of risks should be assessed by REs in their digital payment systems, and what should be the scope of such assessment?","REs should assess operational risk, business continuity and service availability, compliance with cyber security requirements, and compatibility aspects. The assessment should cover the surrounding ecosystem and address the need to protect and secure payment data, and evaluate the resilience of systems.",MD7493544C24B5FC47D0AB12798C61CDB56F.pdf,304
81,"What is the purpose of the internal Risk and Control Self-Assessment (RCSA) exercise, and what should it cover?","The purpose of the RCSA exercise is to assess the risks (inherent) and controls vis-à-vis the probability and impact of threats to arrive at residual risk. It should cover the risks associated with the chosen technology platforms, application architecture, and existing security measures.",MD7493544C24B5FC47D0AB12798C61CDB56F.pdf,288
82,What is the importance of sound internal control systems in digital payment products and services?,"Sound internal control systems are essential to ensure that adequate safeguards are in place to protect the integrity of data, customer confidentiality, and security of data. REs should develop and implement such systems before offering digital payment products and services.",MD7493544C24B5FC47D0AB12798C61CDB56F.pdf,275
83,What are the key considerations for REs in ensuring the security of their digital payment architecture?,"REs should ensure that their digital payment architecture is robust and scalable, commensurate with transaction volumes and customer growth. They should also have a robust capacity management plan in place to meet evolving demand, and review their IT/IT Security architecture and technology platform on a periodic basis.",MD7493544C24B5FC47D0AB12798C61CDB56F.pdf,320
84,What are the requirements for REs in terms of testing and validation of their digital payment applications?,"REs should conduct security testing, including review of source code, Vulnerability Assessment (VA), and Penetration Testing (PT) of their digital payment applications to assure that the application is secure for putting through transactions while preserving confidentiality and integrity of the data that is stored and transmitted.",MD7493544C24B5FC47D0AB12798C61CDB56F.pdf,332
85,What are the guidelines for REs in terms of application security life cycle (ASLC)?,"REs should implement multi-tier application architecture, segregating application, database, and presentation layer in digital payment products and services. They should also follow a 'secure by design' approach in the development of digital payment products and services, and explicitly define security objectives during various phases of the application lifecycle.",MD7493544C24B5FC47D0AB12798C61CDB56F.pdf,366
86,What are the requirements for REs in terms of vulnerability scanning and testing?,"REs should conduct vulnerability scanning on a continuous or more frequent basis, and compare the results from earlier vulnerability scans to verify that vulnerabilities are addressed. They should also ensure that all vulnerability scanning is performed in authenticated mode, and verify and thoroughly test the functionality and security controls of payment products and services before launch.",MD7493544C24B5FC47D0AB12798C61CDB56F.pdf,395
87,What are the guidelines for REs in terms of securing their digital payment applications and data?,"REs should implement secure communication protocols, encryption, and security measures in their digital payment ecosystem. They should also ensure that their digital payment applications handle, store, and protect payment data securely, and refer to relevant standards and guidelines for application security and data protection.",MD7493544C24B5FC47D0AB12798C61CDB56F.pdf,329
88,What are the requirements for REs in terms of monitoring and responding to non-genuine or malicious digital payment applications?,"REs should institute a mechanism to actively monitor for non-genuine or malicious digital payment applications, and respond accordingly to bring them down. They should also ensure that their server has adequate checks and balances to prevent transactions through non-genuine or unauthorized digital payment products and applications.",MD7493544C24B5FC47D0AB12798C61CDB56F.pdf,333
89,What are the guidelines for REs in terms of data protection and masking in digital payment systems?,"REs should redact or mask customer information such as account numbers, card numbers, and other sensitive information when transmitted via SMS or emails. They should also ensure that their digital payment applications handle and store payment data securely, and protect it from unauthorized access or disclosure.",MD7493544C24B5FC47D0AB12798C61CDB56F.pdf,312
90,"What is the recommended authentication methodology for payments through electronic modes and fund transfers, including cash withdrawals from ATMs/micro-ATMs/business correspondents, through digital payment applications?","Multi-factor authentication, with at least one dynamic or non-replicable methodology, such as use of One Time Password, mobile devices, biometric/PKI/hardware tokens, EMV chip card with server-side verification.",MD7493544C24B5FC47D0AB12798C61CDB56F.pdf,211
91,What is the purpose of implementing multi-factor authentication in digital payment systems?,"To protect the confidentiality of payment data and enhance confidence in digital payment by combating various cyber-attack mechanisms like phishing, keylogging, spyware/malware and other internet-based frauds targeted at REs and their customers.",MD7493544C24B5FC47D0AB12798C61CDB56F.pdf,245
92,What factors should be considered when implementing authentication methodologies in digital payment systems?,"The implementation of appropriate authentication methodologies should be based on an assessment of the risk posed by the RE’s digital payment products and services, including the type of customer, customer transactional requirements, sensitivity of customer information, and volume and value of transactions involved.",MD7493544C24B5FC47D0AB12798C61CDB56F.pdf,317
93,What is the recommended approach to online processing security in digital payment systems?,"Multi-factor authentication and alerts (like SMS, e-mail, etc.) should be applied in respect of all payment transactions, creation of new account linkages, changing account details or revision to fund transfer limits.",MD7493544C24B5FC47D0AB12798C61CDB56F.pdf,217
94,What measures should be taken to minimize exposure to man-in-the-middle (MITM) attacks in digital payment systems?,"REs should implement appropriate measures to minimize exposure to MITM attacks, including ensuring that data in transit is secured and transactions are authenticated only by genuine/authorized sources.",MD7493544C24B5FC47D0AB12798C61CDB56F.pdf,201
95,What is the recommended approach to handling failed log-in or authentication attempts in digital payment systems?,"REs should set down the maximum number of failed log-in or authentication attempts after which access to the digital payment product/service is blocked, and have a secure procedure in place to re-activate access to blocked product/service.",MD7493544C24B5FC47D0AB12798C61CDB56F.pdf,239
96,What is the purpose of documenting and implementing configuration aspects for identifying suspicious transactional behavior in digital payment systems?,"To identify and prevent suspicious transactions, including rules, preventive, detective types of controls, mechanism to alert customers in case of failed authentication, time frame for the same, etc.",MD7493544C24B5FC47D0AB12798C61CDB56F.pdf,199
97,What parameters should be considered when parameterizing and monitoring system alerts in digital payment systems?,"Various applicable parameters, such as transaction velocity, high-risk merchant category codes, counterfeit card parameters, new account parameters, time zones, geo-locations, IP address origin, behavioral biometrics, etc.",MD7493544C24B5FC47D0AB12798C61CDB56F.pdf,222
98,What is the recommended approach to fraud analysis in digital payment systems?,Conducting fraud analysis to identify the reason for fraud occurrence and determining mechanisms to prevent such frauds.,MD7493544C24B5FC47D0AB12798C61CDB56F.pdf,120
99,What skills and areas of expertise should staff in the fraud control function be trained in?,"Fraud control tools and their usage, investigative techniques and procedures, cardholder and merchant education techniques to prevent fraud, scheme/card operating regulations, data processing and analysis, and liaising with law enforcement agencies.",MD7493544C24B5FC47D0AB12798C61CDB56F.pdf,249
100,What should REs mention in their digital payment application clearly specifying the process and procedure to lodge consumer grievances?,"A section on the digital payment application clearly specifying the process and procedure (with forms/ contact information, etc.) to lodge consumer grievances.",MD7493544C24B5FC47D0AB12798C61CDB56F.pdf,159
101,What should REs provide to their customers before they subscribe to digital payment products and services?,"Information about the risks, benefits, and liabilities of using digital payment products and its related services, as well as clear and precise information on their rights, obligations, and responsibilities on matters relating to digital payments.",MD7493544C24B5FC47D0AB12798C61CDB56F.pdf,247
102,"What should REs do whenever new operating features or functions, particularly those relating to security, integrity, and authentication, are introduced to online delivery channels?",Provide clear and effective communication followed by sufficient instructions to properly utilize such new features to the customers.,MD7493544C24B5FC47D0AB12798C61CDB56F.pdf,133
103,What should REs provide on their mobile and internet banking application for their customers to identify/mark a transaction as fraudulent?,"A mechanism with necessary authentication, for seamless and immediate notification to the RE, and also a mechanism to receive such fraudulent transactions reported from other REs.",MD7493544C24B5FC47D0AB12798C61CDB56F.pdf,179
104,What should REs implement to prevent authentication-related brute force attacks/application layer Denial of Service (DoS) attacks on internet banking websites?,"Additional levels of authentication such as adaptive authentication, strong CAPTCHA (preferably with anti-bot features) with server-side validation, etc.",MD7493544C24B5FC47D0AB12798C61CDB56F.pdf,153
105,What should REs ensure when the internet banking application is accessed through external websites?,The procedure for authentication and the appearance/look and feel of the RE’s internet banking site should be made uniform as far as possible.,MD7493544C24B5FC47D0AB12798C61CDB56F.pdf,142
106,What should REs do on detection of any anomalies or exceptions for which the mobile application was not programmed?,Direct the customer to remove the current copy/instance of the application and proceed with installation of a new copy/instance of the application.,MD7493544C24B5FC47D0AB12798C61CDB56F.pdf,147
107,What should REs consider to perform on the security and compatibility condition of the device/operating system and the mobile application?,Validation to ensure that activities relating to the account are put through the mobile application in a safe and secure manner.,MD7493544C24B5FC47D0AB12798C61CDB56F.pdf,128
108,What should REs explore the feasibility of implementing to check if the device is rooted/jailbroken prior to the installation of the mobile application?,A code that checks if the device is rooted/jailbroken prior to the installation of the mobile application and disallow the mobile application to install/function if the phone is rooted/jailbroken.,MD7493544C24B5FC47D0AB12798C61CDB56F.pdf,196
109,What should REs host on a public platform so that users can verify the same?,Checksum of current active version of application.,MD7493544C24B5FC47D0AB12798C61CDB56F.pdf,50
