,question,answer,context
54,"Are the Chairperson, Members, officers, and employees of the Board considered public servants, as mentioned in the given context?","Yes, the Chairperson, Members, officers, and employees of the Board are deemed to be public servants within the meaning of section 21 of the Indian Penal Code when acting or purporting to act in pursuance of provisions of","SEC. 1] THE GAZETTE OF INDIA EXTRAORDINARY 13
21. (1) A person shall be disqualified for being appointed and continued as the
Chairperson or a Member, if she—
(a) has been adjudged as an insolvent;
(b) has been convicted of an offence, which in the opinion of the Central
Government, involves moral turpitude;
(c) has become physically or mentally incapable of acting as a Member;
(d) has acquired such financial or other interest, as is likely to affect prejudicially
her functions as a Member; or
(e) has so abused her position as to render her continuance in office prejudicial
to the public interest.
(2) The Chairperson or Member shall not be removed from her office by the Central
Government unless she has been given an opportunity of being heard in the matter.
22. (1) The Chairperson or any other Member may give notice in writing to the Central
Government of resigning from her office, and such resignation shall be effective from thedate on which the Central Government permits her to relinquish office, or upon expiry of aperiod of three months from the date of receipt of such notice, or upon a duly appointedsuccessor entering upon her office, or upon the expiry of the term of her office, whicheveris earliest.
(2) A vacancy caused by the resignation or removal or death of the Chairperson or
any other Member, or otherwise, shall be filled by fresh appointment in accordance with theprovisions of this Act.
(3) The Chairperson and any other Member shall not, for a period of one year from the
date on which they cease to hold such office, except with the previous approval of theCentral Government, accept any employment, and shall also disclose to the CentralGovernment any subsequent acceptance of employment with any Data Fiduciary againstwhom proceedings were initiated by or before such Chairperson or other Member.
23. (1) The Board shall observe such procedure in regard to the holding of and
transaction of business at its meetings, including by digital means, and authenticate itsorders, directions and instruments in such manner as may be prescribed.
(2) No act or proceeding of the Board shall be invalid merely by reason of—
(a) any vacancy in or any defect in the constitution of the Board;
(b) any defect in the appointment of a person acting as the Chairperson or other
Member of the Board; or
(c) any irregularity in the procedure of the Board, which does not affect the
merits of the case.
(3) When the Chairperson is unable to discharge her functions owing to absence,
illness or any other cause, the senior-most Member shall discharge the functions of theChairperson until the date on which the Chairperson resumes her duties.
24. The Board may, with previous approval of the Central Government, appoint such
officers and employees as it may deem necessary for the efficient discharge of its functionsunder the provisions of this Act, on such terms and conditions of appointment and serviceas may be prescribed.
25. The Chairperson, Members, officers and employees of the Board shall be deemed,
when acting or purporting to act in pursuance of provisions of this Act, to be publicservants within the meaning of section 21 of the Indian Penal Code.DisqualificationsforappointmentandcontinuationasChairpersonand Membersof Board.
Resignation
by Membersand filling ofvacancy.
Proceedings
of Board.
Officers and
employees ofBoard.
Members and
officers to bepublicservants.45 of 1860."
55,What are the powers of the Chairperson of the Board as per the given context?,"The Chairperson of the Board has the powers of general superintendence and giving direction in respect of all administrative matters of the Board, authorizing any officer of the Board to scrutinize any intimation, complaint, reference or correspondence addressed to the Board, and authorizing performance of any of the functions of the Board and conduct any of its proceedings, by an individual Member or groups of Members and to allocate proceedings among them.","14 THE GAZETTE OF INDIA EXTRAORDINARY [P ART II—
26. The Chairperson shall exercise the following powers, namely:—
(a) general superintendence and giving direction in respect of all administrative
matters of the Board;
(b) authorise any officer of the Board to scrutinise any intimation, complaint,
reference or correspondence addressed to the Board; and
(c) authorise performance of any of the functions of the Board and conduct any
of its proceedings, by an individual Member or groups of Members and to allocateproceedings among them.
CHAPTER VI
P
OWERS , FUNCTIONS  AND PROCEDURE  TO BE FOLLOWED  BY BOARD
27. (1) The Board shall exercise and perform the following powers and functions,
namely:—
(a) on receipt of an intimation of personal data breach under sub-section ( 6) of
section 8, to direct any urgent remedial or mitigation measures in the event of apersonal data breach, and to inquire into such personal data breach and imposepenalty as provided in this Act;
(b) on a complaint made by a Data Principal in respect of a personal data breach
or a breach in observance by a Data Fiduciary of its obligations in relation to herpersonal data or the exercise of her rights under the provisions of this Act, or on areference made to it by the Central Government or a State Government, or in complianceof the directions of any court, to inquire into such breach and impose penalty asprovided in this Act;
(c) on a complaint made by a Data Principal in respect of a breach in observance
by a Consent Manager of its obligations in relation to her personal data, to inquireinto such breach and impose penalty as provided in this Act;
(d) on receipt of an intimation of breach of any condition of registration of a
Consent Manager, to inquire into such breach and impose penalty as provided in thisAct; and
(e) on a reference made by the Central Government in respect of the breach in
observance of the provisions of sub-section  (2) of section 37 by an intermediary, to
inquire into such breach and impose penalty as provided in this Act.
(2) The Board may, for the effective discharge of its functions under the provisions of
this Act, after giving the person concerned an opportunity of being heard and after recordingreasons in writing, issue such directions as it may consider necessary to such person, whoshall be bound to comply with the same.
(3) The Board may, on a representation made to it by a person affected by a direction
issued under sub-section ( 1) or sub-section ( 2), or on a reference made by the Central
Government, modify, suspend, withdraw or cancel such direction and, while doing so,impose such conditions as it may deem fit, subject to which the modification, suspension,withdrawal or cancellation shall have effect.
28. (1) The Board shall function as an independent body and shall, as far as practicable,
function as a digital office, with the receipt of complaints and the allocation, hearing andpronouncement of decisions in respect of the same being digital by design, and adopt suchtechno-legal measures as may be prescribed.
(2) The Board may, on receipt of an intimation or complaint or reference or directions
as referred to in sub-section ( 1) of section 27, take action in accordance with the provisions
of this Act and the rules made thereunder.Powers ofChairperson.
Powers and
functions ofBoard.
Procedure to
be followed byBoard."
56,What are the powers and functions of the Board as per the given context?,"The Board has the powers and functions to direct any urgent remedial or mitigation measures in the event of a personal data breach, inquire into such personal data breach and impose penalty, inquire into a breach in observance by a Data Fiduciary of its obligations in relation to a Data Principal's personal data or the exercise of her rights under the provisions of this Act, inquire into a breach in observance by a Consent Manager of its obligations in relation to a Data Principal's personal data, inquire into a breach of any condition of registration of a Consent Manager, and inquire into a breach in observance of the provisions of sub-section (2) of section 37 by an intermediary.","14 THE GAZETTE OF INDIA EXTRAORDINARY [P ART II—
26. The Chairperson shall exercise the following powers, namely:—
(a) general superintendence and giving direction in respect of all administrative
matters of the Board;
(b) authorise any officer of the Board to scrutinise any intimation, complaint,
reference or correspondence addressed to the Board; and
(c) authorise performance of any of the functions of the Board and conduct any
of its proceedings, by an individual Member or groups of Members and to allocateproceedings among them.
CHAPTER VI
P
OWERS , FUNCTIONS  AND PROCEDURE  TO BE FOLLOWED  BY BOARD
27. (1) The Board shall exercise and perform the following powers and functions,
namely:—
(a) on receipt of an intimation of personal data breach under sub-section ( 6) of
section 8, to direct any urgent remedial or mitigation measures in the event of apersonal data breach, and to inquire into such personal data breach and imposepenalty as provided in this Act;
(b) on a complaint made by a Data Principal in respect of a personal data breach
or a breach in observance by a Data Fiduciary of its obligations in relation to herpersonal data or the exercise of her rights under the provisions of this Act, or on areference made to it by the Central Government or a State Government, or in complianceof the directions of any court, to inquire into such breach and impose penalty asprovided in this Act;
(c) on a complaint made by a Data Principal in respect of a breach in observance
by a Consent Manager of its obligations in relation to her personal data, to inquireinto such breach and impose penalty as provided in this Act;
(d) on receipt of an intimation of breach of any condition of registration of a
Consent Manager, to inquire into such breach and impose penalty as provided in thisAct; and
(e) on a reference made by the Central Government in respect of the breach in
observance of the provisions of sub-section  (2) of section 37 by an intermediary, to
inquire into such breach and impose penalty as provided in this Act.
(2) The Board may, for the effective discharge of its functions under the provisions of
this Act, after giving the person concerned an opportunity of being heard and after recordingreasons in writing, issue such directions as it may consider necessary to such person, whoshall be bound to comply with the same.
(3) The Board may, on a representation made to it by a person affected by a direction
issued under sub-section ( 1) or sub-section ( 2), or on a reference made by the Central
Government, modify, suspend, withdraw or cancel such direction and, while doing so,impose such conditions as it may deem fit, subject to which the modification, suspension,withdrawal or cancellation shall have effect.
28. (1) The Board shall function as an independent body and shall, as far as practicable,
function as a digital office, with the receipt of complaints and the allocation, hearing andpronouncement of decisions in respect of the same being digital by design, and adopt suchtechno-legal measures as may be prescribed.
(2) The Board may, on receipt of an intimation or complaint or reference or directions
as referred to in sub-section ( 1) of section 27, take action in accordance with the provisions
of this Act and the rules made thereunder.Powers ofChairperson.
Powers and
functions ofBoard.
Procedure to
be followed byBoard."
57,What is the procedure to be followed by the Board as per the given context?,"The Board shall function as an independent body and shall, as far as practicable, function as a digital office, with the receipt of complaints and the allocation, hearing and pronouncement of decisions in respect of the same being digital by design, and adopt such techno-legal measures as may be prescribed. The Board may, on receipt of an intimation or complaint or reference or directions as referred to in sub-section (1) of section 27, take action in accordance with the provisions of this Act and the rules made thereunder.","14 THE GAZETTE OF INDIA EXTRAORDINARY [P ART II—
26. The Chairperson shall exercise the following powers, namely:—
(a) general superintendence and giving direction in respect of all administrative
matters of the Board;
(b) authorise any officer of the Board to scrutinise any intimation, complaint,
reference or correspondence addressed to the Board; and
(c) authorise performance of any of the functions of the Board and conduct any
of its proceedings, by an individual Member or groups of Members and to allocateproceedings among them.
CHAPTER VI
P
OWERS , FUNCTIONS  AND PROCEDURE  TO BE FOLLOWED  BY BOARD
27. (1) The Board shall exercise and perform the following powers and functions,
namely:—
(a) on receipt of an intimation of personal data breach under sub-section ( 6) of
section 8, to direct any urgent remedial or mitigation measures in the event of apersonal data breach, and to inquire into such personal data breach and imposepenalty as provided in this Act;
(b) on a complaint made by a Data Principal in respect of a personal data breach
or a breach in observance by a Data Fiduciary of its obligations in relation to herpersonal data or the exercise of her rights under the provisions of this Act, or on areference made to it by the Central Government or a State Government, or in complianceof the directions of any court, to inquire into such breach and impose penalty asprovided in this Act;
(c) on a complaint made by a Data Principal in respect of a breach in observance
by a Consent Manager of its obligations in relation to her personal data, to inquireinto such breach and impose penalty as provided in this Act;
(d) on receipt of an intimation of breach of any condition of registration of a
Consent Manager, to inquire into such breach and impose penalty as provided in thisAct; and
(e) on a reference made by the Central Government in respect of the breach in
observance of the provisions of sub-section  (2) of section 37 by an intermediary, to
inquire into such breach and impose penalty as provided in this Act.
(2) The Board may, for the effective discharge of its functions under the provisions of
this Act, after giving the person concerned an opportunity of being heard and after recordingreasons in writing, issue such directions as it may consider necessary to such person, whoshall be bound to comply with the same.
(3) The Board may, on a representation made to it by a person affected by a direction
issued under sub-section ( 1) or sub-section ( 2), or on a reference made by the Central
Government, modify, suspend, withdraw or cancel such direction and, while doing so,impose such conditions as it may deem fit, subject to which the modification, suspension,withdrawal or cancellation shall have effect.
28. (1) The Board shall function as an independent body and shall, as far as practicable,
function as a digital office, with the receipt of complaints and the allocation, hearing andpronouncement of decisions in respect of the same being digital by design, and adopt suchtechno-legal measures as may be prescribed.
(2) The Board may, on receipt of an intimation or complaint or reference or directions
as referred to in sub-section ( 1) of section 27, take action in accordance with the provisions
of this Act and the rules made thereunder.Powers ofChairperson.
Powers and
functions ofBoard.
Procedure to
be followed byBoard."
58,What is the time limit for filing an appeal before the Appellate Tribunal against an order or direction made by the Board under this Act?,Every appeal under sub-section (1) shall be filed within a period of sixty days from the date of receipt of the order or direction appealed against.,"SEC. 1] THE GAZETTE OF INDIA EXTRAORDINARY 15
(3) The Board shall determine whether there are sufficient grounds to proceed with an
inquiry.
(4) In case the Board determines that there are insufficient grounds, it may, for reasons
to be recorded in writing, close the proceedings.
(5) In case the Board determines that there are sufficient grounds to proceed with
inquiry, it may, for reasons to be recorded in writing, inquire into the affairs of any person forascertaining whether such person is complying with or has complied with the provisions ofthis Act.
(6) The Board shall conduct such inquiry following the principles of natural justice
and shall record reasons for its actions during the course of such inquiry.
(7) For the purposes of discharging its functions under this Act, the Board shall have
the same powers as are vested in a civil court under the Code of Civil Procedure, 1908, inrespect of matters relating to—
(a) summoning and enforcing the attendance of any person and examining her
on oath;
(b) receiving evidence of affidavit requiring the discovery and production of
documents;
(c) inspecting any data, book, document, register, books of account or any
other document; and
(d) such other matters as may be prescribed.
(8) The Board or its officers shall not prevent access to any premises or take into
custody any equipment or any item that may adversely affect the day-to-day functioning ofa person.
(9) The Board may require the services of any police officer or any officer of the
Central Government or a State Government to assist it for the purposes of this section andit shall be the duty of every such officer to comply with such requisition.
(10) During the course of the inquiry, if the Board considers it necessary, it may for
reasons to be recorded in writing, issue interim orders after giving the person concerned anopportunity of being heard.
(11) On completion of the inquiry and after giving the person concerned an opportunity
of being heard, the Board may for reasons to be recorded in writing, either close theproceedings or proceed in accordance with section 33.
(12) At any stage after receipt of a complaint, if the Board is of the opinion that the
complaint is false or frivolous, it may issue a warning or impose costs on the complainant.
CHAPTER VII
A
PPEAL  AND ALTERNATE  DISPUTE  RESOLUTION
29. (1) Any person aggrieved by an order or direction made by the Board under this
Act may prefer an appeal before the Appellate Tribunal.
(2) Every appeal under sub-section ( 1) shall be filed within a period of sixty days from
the date of receipt of the order or direction appealed against and it shall be in such form andmanner and shall be accompanied by such fee as may be prescribed.
(3) The Appellate Tribunal may entertain an appeal after the expiry of the period
specified in sub-section ( 2), if it is satisfied that there was sufficient cause for not preferring
the appeal within that period.
(4) On receipt of an appeal under sub-section ( 1), the Appellate Tribunal may, after
giving the parties to the appeal, an opportunity of being heard, pass such orders thereon asit thinks fit, confirming, modifying or setting aside the order appealed against.Appeal toAppellateTribunal.5 of 1908."
59,Under what circumstances can the Board close the proceedings during an inquiry into the affairs of any person?,"The Board can close the proceedings if it determines that there are insufficient grounds to proceed with the inquiry, or if it is of the opinion that the complaint is false or frivolous.","SEC. 1] THE GAZETTE OF INDIA EXTRAORDINARY 15
(3) The Board shall determine whether there are sufficient grounds to proceed with an
inquiry.
(4) In case the Board determines that there are insufficient grounds, it may, for reasons
to be recorded in writing, close the proceedings.
(5) In case the Board determines that there are sufficient grounds to proceed with
inquiry, it may, for reasons to be recorded in writing, inquire into the affairs of any person forascertaining whether such person is complying with or has complied with the provisions ofthis Act.
(6) The Board shall conduct such inquiry following the principles of natural justice
and shall record reasons for its actions during the course of such inquiry.
(7) For the purposes of discharging its functions under this Act, the Board shall have
the same powers as are vested in a civil court under the Code of Civil Procedure, 1908, inrespect of matters relating to—
(a) summoning and enforcing the attendance of any person and examining her
on oath;
(b) receiving evidence of affidavit requiring the discovery and production of
documents;
(c) inspecting any data, book, document, register, books of account or any
other document; and
(d) such other matters as may be prescribed.
(8) The Board or its officers shall not prevent access to any premises or take into
custody any equipment or any item that may adversely affect the day-to-day functioning ofa person.
(9) The Board may require the services of any police officer or any officer of the
Central Government or a State Government to assist it for the purposes of this section andit shall be the duty of every such officer to comply with such requisition.
(10) During the course of the inquiry, if the Board considers it necessary, it may for
reasons to be recorded in writing, issue interim orders after giving the person concerned anopportunity of being heard.
(11) On completion of the inquiry and after giving the person concerned an opportunity
of being heard, the Board may for reasons to be recorded in writing, either close theproceedings or proceed in accordance with section 33.
(12) At any stage after receipt of a complaint, if the Board is of the opinion that the
complaint is false or frivolous, it may issue a warning or impose costs on the complainant.
CHAPTER VII
A
PPEAL  AND ALTERNATE  DISPUTE  RESOLUTION
29. (1) Any person aggrieved by an order or direction made by the Board under this
Act may prefer an appeal before the Appellate Tribunal.
(2) Every appeal under sub-section ( 1) shall be filed within a period of sixty days from
the date of receipt of the order or direction appealed against and it shall be in such form andmanner and shall be accompanied by such fee as may be prescribed.
(3) The Appellate Tribunal may entertain an appeal after the expiry of the period
specified in sub-section ( 2), if it is satisfied that there was sufficient cause for not preferring
the appeal within that period.
(4) On receipt of an appeal under sub-section ( 1), the Appellate Tribunal may, after
giving the parties to the appeal, an opportunity of being heard, pass such orders thereon asit thinks fit, confirming, modifying or setting aside the order appealed against.Appeal toAppellateTribunal.5 of 1908."
60,What are the powers vested in the Board during an inquiry into the affairs of any person?,"The Board has the same powers as are vested in a civil court under the Code of Civil Procedure, 1908, in respect of matters relating to summoning and enforcing the attendance of any person, receiving evidence, requiring the discovery and production of documents, inspecting any data or documents, and such other matters as may be prescribed.","SEC. 1] THE GAZETTE OF INDIA EXTRAORDINARY 15
(3) The Board shall determine whether there are sufficient grounds to proceed with an
inquiry.
(4) In case the Board determines that there are insufficient grounds, it may, for reasons
to be recorded in writing, close the proceedings.
(5) In case the Board determines that there are sufficient grounds to proceed with
inquiry, it may, for reasons to be recorded in writing, inquire into the affairs of any person forascertaining whether such person is complying with or has complied with the provisions ofthis Act.
(6) The Board shall conduct such inquiry following the principles of natural justice
and shall record reasons for its actions during the course of such inquiry.
(7) For the purposes of discharging its functions under this Act, the Board shall have
the same powers as are vested in a civil court under the Code of Civil Procedure, 1908, inrespect of matters relating to—
(a) summoning and enforcing the attendance of any person and examining her
on oath;
(b) receiving evidence of affidavit requiring the discovery and production of
documents;
(c) inspecting any data, book, document, register, books of account or any
other document; and
(d) such other matters as may be prescribed.
(8) The Board or its officers shall not prevent access to any premises or take into
custody any equipment or any item that may adversely affect the day-to-day functioning ofa person.
(9) The Board may require the services of any police officer or any officer of the
Central Government or a State Government to assist it for the purposes of this section andit shall be the duty of every such officer to comply with such requisition.
(10) During the course of the inquiry, if the Board considers it necessary, it may for
reasons to be recorded in writing, issue interim orders after giving the person concerned anopportunity of being heard.
(11) On completion of the inquiry and after giving the person concerned an opportunity
of being heard, the Board may for reasons to be recorded in writing, either close theproceedings or proceed in accordance with section 33.
(12) At any stage after receipt of a complaint, if the Board is of the opinion that the
complaint is false or frivolous, it may issue a warning or impose costs on the complainant.
CHAPTER VII
A
PPEAL  AND ALTERNATE  DISPUTE  RESOLUTION
29. (1) Any person aggrieved by an order or direction made by the Board under this
Act may prefer an appeal before the Appellate Tribunal.
(2) Every appeal under sub-section ( 1) shall be filed within a period of sixty days from
the date of receipt of the order or direction appealed against and it shall be in such form andmanner and shall be accompanied by such fee as may be prescribed.
(3) The Appellate Tribunal may entertain an appeal after the expiry of the period
specified in sub-section ( 2), if it is satisfied that there was sufficient cause for not preferring
the appeal within that period.
(4) On receipt of an appeal under sub-section ( 1), the Appellate Tribunal may, after
giving the parties to the appeal, an opportunity of being heard, pass such orders thereon asit thinks fit, confirming, modifying or setting aside the order appealed against.Appeal toAppellateTribunal.5 of 1908."
61,Can the Board issue interim orders during the course of an inquiry?,"Yes, the Board may issue interim orders during the course of an inquiry if it considers it necessary, after giving the person concerned an opportunity of being heard and recording reasons in writing.","SEC. 1] THE GAZETTE OF INDIA EXTRAORDINARY 15
(3) The Board shall determine whether there are sufficient grounds to proceed with an
inquiry.
(4) In case the Board determines that there are insufficient grounds, it may, for reasons
to be recorded in writing, close the proceedings.
(5) In case the Board determines that there are sufficient grounds to proceed with
inquiry, it may, for reasons to be recorded in writing, inquire into the affairs of any person forascertaining whether such person is complying with or has complied with the provisions ofthis Act.
(6) The Board shall conduct such inquiry following the principles of natural justice
and shall record reasons for its actions during the course of such inquiry.
(7) For the purposes of discharging its functions under this Act, the Board shall have
the same powers as are vested in a civil court under the Code of Civil Procedure, 1908, inrespect of matters relating to—
(a) summoning and enforcing the attendance of any person and examining her
on oath;
(b) receiving evidence of affidavit requiring the discovery and production of
documents;
(c) inspecting any data, book, document, register, books of account or any
other document; and
(d) such other matters as may be prescribed.
(8) The Board or its officers shall not prevent access to any premises or take into
custody any equipment or any item that may adversely affect the day-to-day functioning ofa person.
(9) The Board may require the services of any police officer or any officer of the
Central Government or a State Government to assist it for the purposes of this section andit shall be the duty of every such officer to comply with such requisition.
(10) During the course of the inquiry, if the Board considers it necessary, it may for
reasons to be recorded in writing, issue interim orders after giving the person concerned anopportunity of being heard.
(11) On completion of the inquiry and after giving the person concerned an opportunity
of being heard, the Board may for reasons to be recorded in writing, either close theproceedings or proceed in accordance with section 33.
(12) At any stage after receipt of a complaint, if the Board is of the opinion that the
complaint is false or frivolous, it may issue a warning or impose costs on the complainant.
CHAPTER VII
A
PPEAL  AND ALTERNATE  DISPUTE  RESOLUTION
29. (1) Any person aggrieved by an order or direction made by the Board under this
Act may prefer an appeal before the Appellate Tribunal.
(2) Every appeal under sub-section ( 1) shall be filed within a period of sixty days from
the date of receipt of the order or direction appealed against and it shall be in such form andmanner and shall be accompanied by such fee as may be prescribed.
(3) The Appellate Tribunal may entertain an appeal after the expiry of the period
specified in sub-section ( 2), if it is satisfied that there was sufficient cause for not preferring
the appeal within that period.
(4) On receipt of an appeal under sub-section ( 1), the Appellate Tribunal may, after
giving the parties to the appeal, an opportunity of being heard, pass such orders thereon asit thinks fit, confirming, modifying or setting aside the order appealed against.Appeal toAppellateTribunal.5 of 1908."
62,What is the role of the Appellate Tribunal in an appeal against an order or direction made by the Board?,"The Appellate Tribunal may, after giving the parties to the appeal an opportunity of being heard, pass orders confirming, modifying, or setting aside the order appealed against.","SEC. 1] THE GAZETTE OF INDIA EXTRAORDINARY 15
(3) The Board shall determine whether there are sufficient grounds to proceed with an
inquiry.
(4) In case the Board determines that there are insufficient grounds, it may, for reasons
to be recorded in writing, close the proceedings.
(5) In case the Board determines that there are sufficient grounds to proceed with
inquiry, it may, for reasons to be recorded in writing, inquire into the affairs of any person forascertaining whether such person is complying with or has complied with the provisions ofthis Act.
(6) The Board shall conduct such inquiry following the principles of natural justice
and shall record reasons for its actions during the course of such inquiry.
(7) For the purposes of discharging its functions under this Act, the Board shall have
the same powers as are vested in a civil court under the Code of Civil Procedure, 1908, inrespect of matters relating to—
(a) summoning and enforcing the attendance of any person and examining her
on oath;
(b) receiving evidence of affidavit requiring the discovery and production of
documents;
(c) inspecting any data, book, document, register, books of account or any
other document; and
(d) such other matters as may be prescribed.
(8) The Board or its officers shall not prevent access to any premises or take into
custody any equipment or any item that may adversely affect the day-to-day functioning ofa person.
(9) The Board may require the services of any police officer or any officer of the
Central Government or a State Government to assist it for the purposes of this section andit shall be the duty of every such officer to comply with such requisition.
(10) During the course of the inquiry, if the Board considers it necessary, it may for
reasons to be recorded in writing, issue interim orders after giving the person concerned anopportunity of being heard.
(11) On completion of the inquiry and after giving the person concerned an opportunity
of being heard, the Board may for reasons to be recorded in writing, either close theproceedings or proceed in accordance with section 33.
(12) At any stage after receipt of a complaint, if the Board is of the opinion that the
complaint is false or frivolous, it may issue a warning or impose costs on the complainant.
CHAPTER VII
A
PPEAL  AND ALTERNATE  DISPUTE  RESOLUTION
29. (1) Any person aggrieved by an order or direction made by the Board under this
Act may prefer an appeal before the Appellate Tribunal.
(2) Every appeal under sub-section ( 1) shall be filed within a period of sixty days from
the date of receipt of the order or direction appealed against and it shall be in such form andmanner and shall be accompanied by such fee as may be prescribed.
(3) The Appellate Tribunal may entertain an appeal after the expiry of the period
specified in sub-section ( 2), if it is satisfied that there was sufficient cause for not preferring
the appeal within that period.
(4) On receipt of an appeal under sub-section ( 1), the Appellate Tribunal may, after
giving the parties to the appeal, an opportunity of being heard, pass such orders thereon asit thinks fit, confirming, modifying or setting aside the order appealed against.Appeal toAppellateTribunal.5 of 1908."
63,What is the time limit for the Appellate Tribunal to dispose of an appeal finally?,The Appellate Tribunal shall dispose of the appeal finally within six months from the date on which the appeal is presented to it.,"16 THE GAZETTE OF INDIA EXTRAORDINARY [P ART II—
(5) The Appellate Tribunal shall send a copy of every order made by it to the Board
and to the parties to the appeal.
(6) The appeal filed before the Appellate Tribunal under sub-section ( 1) shall be dealt
with by it as expeditiously as possible and endeavour shall be made by it to dispose of theappeal finally within six months from the date on which the appeal is presented to it.
(7) Where any appeal under sub-section ( 6) could not be disposed of within the
period of six months, the Appellate Tribunal shall record its reasons in writing for notdisposing of the appeal within that period.
(8) Without prejudice to the provisions of section 14A and section 16 of the Telecom
Regulatory Authority of India Act, 1997, the Appellate Tribunal shall deal with an appealunder this section in accordance with such procedure as may be prescribed.
(9) Where an appeal is filed against the orders of the Appellate Tribunal under this
Act, the provisions of section 18 of the Telecom Regulatory Authority of India Act, 1997shall apply.
(10) In respect of appeals filed under the provisions of this Act, the Appellate Tribunal
shall, as far as practicable, function as a digital office, with the receipt of appeal, hearing andpronouncement of decisions in respect of the same being digital by design.
30. (1) An order passed by the Appellate Tribunal under this Act shall be executable
by it as a decree of civil court, and for this purpose, the Appellate Tribunal shall have all thepowers of a civil court.
(2) Notwithstanding anything contained in sub-section ( 1), the Appellate Tribunal
may transmit any order made by it to a civil court having local jurisdiction and such civilcourt shall execute the order as if it were a decree made by that court.
31. If the Board is of the opinion that any complaint may be resolved by mediation, it
may direct the parties concerned to attempt resolution of the dispute through such mediationby such mediator as the parties may mutually agree upon, or as provided for under any lawfor the time being in force in India.
32. (1) The Board may accept a voluntary undertaking in respect of any matter related
to observance of the provisions of this Act from any person at any stage of a proceedingunder section 28.
(2) The voluntary undertaking referred to in sub-section ( 1) may include an
undertaking to take such action within such time as may be determined by the Board, orrefrain from taking such action, and or publicising such undertaking.
(3) The Board may, after accepting the voluntary undertaking and with the consent of
the person who gave the voluntary undertaking vary the terms included in the voluntaryundertaking.
(4) The acceptance of the voluntary undertaking by the Board shall constitute a bar
on proceedings under the provisions of this Act as regards the contents of the voluntaryundertaking, except in cases covered by sub-section ( 5).
(5) Where a person fails to adhere to any term of the voluntary undertaking accepted
by the Board, such breach shall be deemed to be breach of the provisions of this Act andthe Board may, after giving such person an opportunity of being heard, proceed in accordancewith the provisions of section 33.
CHAPTER VIII
P
ENALTIES  AND ADJUDICATION
33. (1) If the Board determines on conclusion of an inquiry that breach of the provisions
of this Act or the rules made thereunder by a person is significant, it may, after giving theOrders passedby AppellateTribunal to beexecutable asdecree.
Alternate
disputeresolution.
Voluntary
undertaking.
Penalties.24 of 1997.
24 of 1997."
64,What happens if the Appellate Tribunal fails to dispose of an appeal within the prescribed time limit?,"If the Appellate Tribunal fails to dispose of an appeal within the prescribed time limit, it shall record its reasons in writing for not disposing of the appeal within that period.","16 THE GAZETTE OF INDIA EXTRAORDINARY [P ART II—
(5) The Appellate Tribunal shall send a copy of every order made by it to the Board
and to the parties to the appeal.
(6) The appeal filed before the Appellate Tribunal under sub-section ( 1) shall be dealt
with by it as expeditiously as possible and endeavour shall be made by it to dispose of theappeal finally within six months from the date on which the appeal is presented to it.
(7) Where any appeal under sub-section ( 6) could not be disposed of within the
period of six months, the Appellate Tribunal shall record its reasons in writing for notdisposing of the appeal within that period.
(8) Without prejudice to the provisions of section 14A and section 16 of the Telecom
Regulatory Authority of India Act, 1997, the Appellate Tribunal shall deal with an appealunder this section in accordance with such procedure as may be prescribed.
(9) Where an appeal is filed against the orders of the Appellate Tribunal under this
Act, the provisions of section 18 of the Telecom Regulatory Authority of India Act, 1997shall apply.
(10) In respect of appeals filed under the provisions of this Act, the Appellate Tribunal
shall, as far as practicable, function as a digital office, with the receipt of appeal, hearing andpronouncement of decisions in respect of the same being digital by design.
30. (1) An order passed by the Appellate Tribunal under this Act shall be executable
by it as a decree of civil court, and for this purpose, the Appellate Tribunal shall have all thepowers of a civil court.
(2) Notwithstanding anything contained in sub-section ( 1), the Appellate Tribunal
may transmit any order made by it to a civil court having local jurisdiction and such civilcourt shall execute the order as if it were a decree made by that court.
31. If the Board is of the opinion that any complaint may be resolved by mediation, it
may direct the parties concerned to attempt resolution of the dispute through such mediationby such mediator as the parties may mutually agree upon, or as provided for under any lawfor the time being in force in India.
32. (1) The Board may accept a voluntary undertaking in respect of any matter related
to observance of the provisions of this Act from any person at any stage of a proceedingunder section 28.
(2) The voluntary undertaking referred to in sub-section ( 1) may include an
undertaking to take such action within such time as may be determined by the Board, orrefrain from taking such action, and or publicising such undertaking.
(3) The Board may, after accepting the voluntary undertaking and with the consent of
the person who gave the voluntary undertaking vary the terms included in the voluntaryundertaking.
(4) The acceptance of the voluntary undertaking by the Board shall constitute a bar
on proceedings under the provisions of this Act as regards the contents of the voluntaryundertaking, except in cases covered by sub-section ( 5).
(5) Where a person fails to adhere to any term of the voluntary undertaking accepted
by the Board, such breach shall be deemed to be breach of the provisions of this Act andthe Board may, after giving such person an opportunity of being heard, proceed in accordancewith the provisions of section 33.
CHAPTER VIII
P
ENALTIES  AND ADJUDICATION
33. (1) If the Board determines on conclusion of an inquiry that breach of the provisions
of this Act or the rules made thereunder by a person is significant, it may, after giving theOrders passedby AppellateTribunal to beexecutable asdecree.
Alternate
disputeresolution.
Voluntary
undertaking.
Penalties.24 of 1997.
24 of 1997."
